Date,Conditions,RH,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,Vicki time,NWS time,NWS temp,1610 TE (S_no),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (G_no),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
3/1/2019,overcast,12,7.96,7.38,6.46,7.54,13:49,13:35,20.1,-12,-11.6,-7.3,NaN,23,22.3,23.8,NaN,Overcast so NaN to exclude data
3/2/2019,overcast,12.0,11.79,12.19,12.3,7.64,14:36,14:35,23.11,-10.9,-9.4,-24.5,NaN,31.8,31.5,33.1,NaN,
3/3/2019,clear sky,18.0,11.62,8.15,12.69,8.95,14:01,13:55,19.78,NaN,NaN,-31.3,NaN,30.3,33.2,34.8,NaN,
3/4/2019,clear sky,33.0,7.56,8.44,7.36,5.52,10:38,10:35,10.78,NaN,NaN,-33.7,NaN,22.5,21.4,23.4,NaN,
3/5/2019,clear sky,30.0,7.62,6.31,5.41,5.23,11:45,11:55,14.61,NaN,NaN,-27.8,NaN,26.8,26.2,29.4,NaN,
3/6/2019,overcast,29.0,5.13,9.96,11.26,8.86,9:27,09:35,10.22,NaN,-32.3,-16.4,NaN,14.5,13.6,13.9,NaN,
3/7/2019,overcast,17.0,7.37,5.36,12.1,10.74,12:39,12:35,20.39,NaN,-27.3,-12.4,NaN,22.5,21.8,22.9,NaN,
3/8/2019,clear sky,10.0,6.47,0.0,9.4,16.65,13:10,13:15,20.5,NaN,NaN,-36.3,NaN,29.3,28.6,30.4,NaN,
3/9/2019,clear sky,23.0,5.45,4.67,3.2,6.41,11:03,10:55,10.61,-16.7,NaN,-11.2,NaN,12.8,NaN,11.1,NaN,
3/10/2019,overcast,23.0,4.72,8.15,14.01,19.56,12:38,12:35,11.28,-2.2,-6.5,-10.4,NaN,26.6,25.5,28.8,NaN,
3/11/2019,overcast,82.0,12.11,14.84,17.01,17.88,9:20,09:15,9.39,-17.6,-24.9,-16.2,NaN,14,12.6,12.4,NaN,
3/12/2019,clear sky,63.0,14.48,19.07,19.14,18.68,10:25,10:30,15.0,NaN,NaN,-37.9,NaN,6.9,6.3,6.2,NaN,
3/13/2019,clear sky,38.0,8.87,5.76,9.65,8.16,11:55,11:55,10.78,NaN,NaN,-41.9,NaN,20.4,20.6,21.1,NaN,
3/14/2019,clear sky,31.0,6.1,5.71,5.47,2.99,13:32,13:35,7.11,NaN,NaN,-37.2,NaN,27.6,26.6,28.3,NaN,
3/15/2019,clear sky,33.0,5.03,4.66,6.76,8.92,11:29,11:35,6.61,NaN,NaN,-29.4,NaN,21,20.2,22.2,NaN,
3/16/2019,clear sky,32.0,6.68,7.1,12.54,14.22,11:20,11:15,8.28,NaN,NaN,-35.7,NaN,21,20.1,21.8,NaN,
3/17/2019,clear sky,48.0,6.66,4.7,9.66,9.33,11:43,11:35,8.78,NaN,NaN,-30.6,NaN,25.5,25.3,27.3,NaN,
3/18/2019,overcast,36.0,7.38,6.12,11.43,9.96,10:47,10:55,11.78,-18.7,-19.3,-14.7,NaN,20.4,19.4,19.6,NaN,
3/19/2019,clear sky,38.0,9.75,11.9,7.81,7.83,11:02,10:55,12.11,NaN,NaN,-30.5,NaN,23.5,23.3,24.8,NaN,
3/20/2019,overcast,49.0,10.98,8.76,10.16,12.76,11:00,10:55,11.28,1.9,-2.3,2.2,NaN,16.4,15.2,14.7,NaN,
3/21/2019,clear sky,52.0,10.84,11.03,18.54,11.91,12:15,12:15,12.11,NaN,NaN,-32.6,NaN,28,27.5,27.2,NaN,
3/22/2019,clear sky,15.0,10.26,4.37,6.88,6.54,13:48,13:55,18.11,NaN,NaN,-22.1,NaN,31.5,31.2,33.4,NaN,
3/23/2019,clear sky,29.0,6.04,7.54,6.73,6.91,10:56,10:55,13.89,NaN,-29.6,-22,NaN,20.4,19.7,19.2,NaN,
3/24/2019,clear sky,23.0,7.19,6.58,6.09,5.31,10:48,10:55,15.0,NaN,NaN,-36.1,NaN,24.5,24.1,25.5,NaN,
3/25/2019,clear sky,18.0,4.06,4.46,4.26,6.28,10:49,10:55,14.61,NaN,NaN,-23.8,NaN,23,22.8,24.2,NaN,
3/26/2019,clear sky,18.0,3.44,0.0,10.48,0.0,12:35,12:35,21.0,NaN,NaN,-15.1,NaN,34.7,34.9,36.7,NaN,
3/27/2019,clear sky,47.0,11.51,8.66,10.28,7.21,9:57,09:55,18.5,NaN,NaN,-26.5,NaN,29.5,29.8,31.2,NaN,
3/28/2019,clear sky,13.0,9.64,4.13,8.34,6.95,10:57,10:55,21.0,NaN,NaN,-38.1,NaN,30.7,31,32.5,NaN,
