Date,Vicki time,NWS time,Conditions,RH,NWS temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (S_no),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (G_no),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
1/22/2019,10:38,10:15,overcast,40,5,5.93,6.15,8.14,6.17,-13.3,-13.2,NaN,NaN,7.2,5.3,NaN,NaN,Overcast so NaN to exclude data
1/23/2019,13:38,13:35,clear sky,22.0,7.11,2.89,4.86,4.37,4.81,NaN,NaN,NaN,NaN,17,13.7,NaN,NaN,
1/24/2019,10:38,10:35,clear sky,33.0,5.5,4.73,2.95,4.76,3.15,NaN,NaN,NaN,NaN,11.2,7.2,NaN,NaN,
1/25/2019,15:02,14:55,clear sky,19.0,10.28,3.27,3.16,3.85,2.64,NaN,NaN,NaN,NaN,16.1,12.9,NaN,NaN,
1/26/2019,11:33,11:35,clear sky,28.0,7.0,4.35,4.56,3.61,4.25,NaN,NaN,NaN,NaN,15.3,12.5,NaN,NaN,
1/27/2019,14:33,14:35,clear sky,22.0,11.11,4.76,5.73,5.09,4.94,NaN,NaN,NaN,NaN,15.9,14.7,NaN,NaN,
1/28/2019,11:28,11:35,clear sky,30.0,10.22,6.07,4.08,5.22,6.32,NaN,NaN,NaN,NaN,17.4,15.7,NaN,NaN,
1/29/2019,10:26,10:35,overcast,57.0,0.89,4.82,4.94,9.47,9.31,-20,-21.5,NaN,NaN,34,37,NaN,NaN,Overcast so NaN to exclude data
1/30/2019,10:44,10:35,clear sky,39.0,4.61,3.47,2.29,11.53,11.2,NaN,NaN,NaN,NaN,10.2,8.7,NaN,NaN,
1/31/2019,10:46,10:55,clear sky,26.0,7.61,3.14,4.18,10.73,8.44,NaN,NaN,NaN,NaN,10.2,9.8,NaN,NaN,
2/1/2019,11:35,11:35,clear sky,27,11.11,8.76,8.65,12.2,14.39,NaN,NaN,NaN,NaN,15.3,13.5,NaN,NaN,
2/2/2019,11:07,11:15,clear sky,45.0,10.22,7.59,11.46,12.29,19.32,NaN,NaN,NaN,NaN,16,13.2,NaN,NaN,
2/3/2019,10:43,10:35,overcast,61.0,8.72,10.88,9.36,17.59,14.06,-11,-8.3,NaN,NaN,8.8,9.6,NaN,NaN,Overcast so NaN to exclude data
2/4/2019,12:43,12:35,clear sky,36.0,17.11,9.65,10.96,12.82,14.05,NaN,NaN,NaN,NaN,20.2,18.6,NaN,NaN,
2/5/2019,10:33,10:35,clear sky,44.0,12.89,10.37,4.35,18.41,14.03,NaN,NaN,-31.2,NaN,9.8,8.9,9.9,NaN,
2/6/2019,11:22,11:15,overcast,22.0,13.39,5.7,3.46,17.05,8.16,-13.6,-13.8,-13.8,NaN,17.1,15.6,17.6,NaN,Overcast so NaN to exclude data
2/7/2019,10:45,10:55,clear sky,22.0,2.22,2.54,1.35,4.23,1.84,NaN,NaN,NaN,NaN,10.2,10.6,11.4,NaN,
2/8/2019,12:17,12:15,clear sky,16.0,6.22,1.46,2.34,3.7,4.67,NaN,NaN,-46.8,NaN,16.5,15.1,17.2,NaN,
2/9/2019,11:49,11:55,clear sky,31.0,10.28,3.29,8.28,9.31,8.95,NaN,NaN,-34.9,NaN,15.4,13.3,14,NaN,
