"date","avg_temp","avg_pw","avg_rh","condition"
2019-01-22,-13.25,6.04,41,3
2019-01-29,-20.75,4.88,57,3
2019-02-03,-9.65,10.12,61,3
2019-02-05,-31.2,7.36,44,1
2019-02-06,-13.7333333333333,4.58,22,3
2019-02-08,-46.8,1.9,16,1
2019-02-09,-34.9,5.785,31,1
2019-02-10,-15.1,4.535,35,3
2019-02-11,-44.9,4.6,35,1
2019-02-13,-15.2666666666667,4.89,25,3
2019-02-14,-2.5,15.015,18,3
2019-02-15,-23.4,9.425,40,1
2019-02-16,-40.3,4.75,20,1
2019-02-17,-43.3,4.38,34,1
2019-02-18,-41.65,4.545,30,1
2019-02-19,-38.4,4.585,68,1
2019-02-20,-45.7,3.57,25,1
2019-02-21,-24.1,4.165,30,3
2019-02-22,-34.2,7.325,33,1
2019-02-23,-45.2,3.845,33,1
2019-02-24,-41.9,2.695,37,1
2019-02-25,-40.9,4.58,26,1
2019-02-26,-38.8,5.345,38,1
2019-02-27,-27.9,8.13,21,1
2019-02-28,-34.4,7.96,30,1
2019-03-01,-10.3,7.67,11,3
2019-03-02,-23.3,11.99,19,1
2019-03-03,-14.9333333333333,9.885,15,3
2019-03-04,-31.3,8,23,1
2019-03-05,-33.7,6.965,35,1
2019-03-06,-27.8,7.545,17,1
2019-03-07,-24.35,6.365,21,3
2019-03-08,-19.85,3.235,10,3
2019-03-09,-36.3,5.06,17,1
2019-03-10,-13.95,6.435,26,1
2019-03-11,-6.36666666666667,13.475,47,3
2019-03-12,-19.5666666666667,16.775,73,3
2019-03-13,-37.9,7.315,38,1
2019-03-14,-41.9,5.905,32,1
2019-03-15,-37.2,4.845,26,1
2019-03-16,-29.4,6.89,32,1
2019-03-17,-35.7,5.68,51,1
2019-03-18,-30.6,6.75,32,1
2019-03-19,-17.5666666666667,10.825,38,3
2019-03-20,-30.5,9.87,49,1
2019-03-21,0.6,10.935,61,3
2019-03-22,-32.6,7.315,21,1
2019-03-23,-22.1,6.79,21,1
2019-03-24,-25.8,6.885,23,1
2019-03-25,-36.1,4.26,18,1
2019-03-26,-23.8,1.72,18,1
2019-03-27,-15.1,10.085,24,1
2019-03-28,-26.5,6.885,15,1
2019-03-29,-38.1,3.295,7,1
2019-03-30,-37.8,4.66,17,1
2019-03-31,-30.85,8.885,41,3
2019-04-01,-36.4,6.455,63,1
2019-04-02,-23.95,7.825,26,3
2019-04-03,-23.3,8.34,15,1
2019-04-04,-27.1,7.39,28,1
2019-04-05,-20.7,7.435,14,1
2019-04-06,-31.1,8.88,31,1
2019-04-07,-22.6,7.92,18,1
2019-04-08,-23.9,6.94,13,1
