*****,MODTRAN3 Version 1.3,12/1/95,***** (Water Vapor == 0.319)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
2.,4999.998,5.19E-10,2.08E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.19E-10,2.08E-13,5.19E-10,0.55088
4.,2500.000,1.32E-09,2.11E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-09,2.11E-12,3.15E-09,0.63747
6.,1666.666,3.35E-09,1.21E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.35E-09,1.21E-11,9.85E-09,0.61938
8.,1250.000,6.29E-09,4.03E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.29E-09,4.03E-11,2.24E-08,0.58142
10.,1000.000,1.46E-08,1.46E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.46E-08,1.46E-10,5.15E-08,0.40577
12.,833.333,2.89E-08,4.16E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.89E-08,4.16E-10,1.09E-07,0.14741
14.,714.286,4.35E-08,8.53E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.35E-08,8.53E-10,1.96E-07,0.03573
16.,625.000,5.82E-08,1.49E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.82E-08,1.49E-09,3.13E-07,0.00666
18.,555.555,7.39E-08,2.39E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E-08,2.39E-09,4.61E-07,0.00042
20.,500.000,9.06E-08,3.62E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.06E-08,3.62E-09,6.42E-07,0.00034
22.,454.545,1.09E-07,5.26E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-07,5.26E-09,8.59E-07,0.00103
24.,416.667,1.29E-07,7.43E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E-07,7.43E-09,1.12E-06,0.00052
26.,384.615,1.51E-07,1.02E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-07,1.02E-08,1.42E-06,0.00006
28.,357.143,1.74E-07,1.36E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E-07,1.36E-08,1.77E-06,0.00024
30.,333.333,1.98E-07,1.79E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-07,1.79E-08,2.16E-06,0.00014
32.,312.500,2.25E-07,2.30E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E-07,2.30E-08,2.61E-06,0.00000
34.,294.118,2.53E-07,2.92E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E-07,2.92E-08,3.12E-06,0.00000
36.,277.778,2.82E-07,3.65E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.82E-07,3.65E-08,3.68E-06,0.00000
38.,263.158,3.13E-07,4.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E-07,4.51E-08,4.31E-06,0.00000
40.,250.000,3.44E-07,5.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.44E-07,5.51E-08,5.00E-06,0.00000
42.,238.095,3.78E-07,6.66E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E-07,6.66E-08,5.75E-06,0.00000
44.,227.273,4.12E-07,7.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E-07,7.98E-08,6.57E-06,0.00000
46.,217.391,4.48E-07,9.48E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.48E-07,9.48E-08,7.47E-06,0.00000
48.,208.333,4.86E-07,1.12E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.86E-07,1.12E-07,8.44E-06,0.00000
50.,200.000,5.24E-07,1.31E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.24E-07,1.31E-07,9.49E-06,0.00000
52.,192.308,5.64E-07,1.52E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.64E-07,1.52E-07,1.06E-05,0.00000
54.,185.185,6.05E-07,1.76E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.05E-07,1.76E-07,1.18E-05,0.00000
56.,178.571,6.47E-07,2.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.47E-07,2.03E-07,1.31E-05,0.00000
58.,172.414,6.91E-07,2.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E-07,2.32E-07,1.45E-05,0.00000
60.,166.667,7.35E-07,2.65E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.35E-07,2.65E-07,1.60E-05,0.00000
62.,161.290,7.81E-07,3.00E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E-07,3.00E-07,1.75E-05,0.00000
64.,156.250,8.28E-07,3.39E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.28E-07,3.39E-07,1.92E-05,0.00000
66.,151.515,8.76E-07,3.81E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-07,3.81E-07,2.09E-05,0.00000
68.,147.059,9.25E-07,4.28E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.25E-07,4.28E-07,2.28E-05,0.00000
70.,142.857,9.75E-07,4.78E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.75E-07,4.78E-07,2.47E-05,0.00000
72.,138.889,1.03E-06,5.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-06,5.32E-07,2.68E-05,0.00000
74.,135.135,1.08E-06,5.90E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-06,5.90E-07,2.90E-05,0.00000
76.,131.579,1.13E-06,6.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E-06,6.53E-07,3.12E-05,0.00000
78.,128.205,1.19E-06,7.21E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-06,7.21E-07,3.36E-05,0.00000
80.,125.000,1.24E-06,7.94E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-06,7.94E-07,3.61E-05,0.00000
82.,121.951,1.30E-06,8.71E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-06,8.71E-07,3.87E-05,0.00000
84.,119.048,1.35E-06,9.54E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E-06,9.54E-07,4.14E-05,0.00000
86.,116.279,1.41E-06,1.04E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E-06,1.04E-06,4.42E-05,0.00000
88.,113.636,1.47E-06,1.14E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E-06,1.14E-06,4.71E-05,0.00000
90.,111.111,1.53E-06,1.24E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-06,1.24E-06,5.02E-05,0.00000
92.,108.696,1.59E-06,1.34E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E-06,1.34E-06,5.34E-05,0.00000
94.,106.383,1.65E-06,1.46E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-06,1.46E-06,5.66E-05,0.00000
96.,104.167,1.71E-06,1.58E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-06,1.58E-06,6.01E-05,0.00000
98.,102.041,1.77E-06,1.70E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-06,1.70E-06,6.36E-05,0.00000
100.,100.000,1.84E-06,1.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E-06,1.84E-06,6.73E-05,0.00000
102.,98.039,1.90E-06,1.98E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E-06,1.98E-06,7.11E-05,0.00000
104.,96.154,1.96E-06,2.12E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E-06,2.12E-06,7.50E-05,0.00000
106.,94.340,2.03E-06,2.28E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E-06,2.28E-06,7.91E-05,0.00000
108.,92.593,2.10E-06,2.44E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E-06,2.44E-06,8.33E-05,0.00000
110.,90.909,2.16E-06,2.62E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E-06,2.62E-06,8.76E-05,0.00000
112.,89.286,2.23E-06,2.80E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E-06,2.80E-06,9.20E-05,0.00000
114.,87.719,2.30E-06,2.98E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E-06,2.98E-06,9.66E-05,0.00000
116.,86.207,2.37E-06,3.18E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.37E-06,3.18E-06,1.01E-04,0.00000
118.,84.746,2.43E-06,3.39E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.43E-06,3.39E-06,1.06E-04,0.00000
120.,83.333,2.50E-06,3.61E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.50E-06,3.61E-06,1.11E-04,0.00000
122.,81.967,2.57E-06,3.83E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E-06,3.83E-06,1.16E-04,0.00000
124.,80.645,2.64E-06,4.06E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E-06,4.06E-06,1.22E-04,0.00000
126.,79.365,2.71E-06,4.31E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E-06,4.31E-06,1.27E-04,0.00000
128.,78.125,2.79E-06,4.57E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.79E-06,4.57E-06,1.33E-04,0.00000
130.,76.923,2.86E-06,4.83E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E-06,4.83E-06,1.38E-04,0.00000
132.,75.758,2.93E-06,5.11E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-06,5.11E-06,1.44E-04,0.00000
134.,74.627,3.00E-06,5.39E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-06,5.39E-06,1.50E-04,0.00000
136.,73.529,3.08E-06,5.69E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.08E-06,5.69E-06,1.56E-04,0.00000
138.,72.464,3.15E-06,6.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E-06,6.00E-06,1.63E-04,0.00000
140.,71.429,3.22E-06,6.32E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E-06,6.32E-06,1.69E-04,0.00000
142.,70.423,3.30E-06,6.65E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E-06,6.65E-06,1.76E-04,0.00000
144.,69.444,3.37E-06,6.99E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.37E-06,6.99E-06,1.83E-04,0.00000
146.,68.493,3.45E-06,7.35E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.45E-06,7.35E-06,1.89E-04,0.00000
148.,67.568,3.52E-06,7.72E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.52E-06,7.72E-06,1.96E-04,0.00000
150.,66.667,3.60E-06,8.10E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.60E-06,8.10E-06,2.04E-04,0.00000
152.,65.789,3.67E-06,8.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.67E-06,8.49E-06,2.11E-04,0.00000
154.,64.935,3.75E-06,8.90E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.75E-06,8.90E-06,2.18E-04,0.00000
