I,Z (km),P (MB),T (K),H2O (mbar),O3 (mbar),CO2 (mbar),CO (mbar),CH4 (mbar),N2O (mbar),O2 (mbar),NH3 (mbar),NO (mbar),NO2 (mbar),SO2 (mbar)
1,0.00,1013.000,294.2,1.40E+01,3.02E-02,4.00E+02,0.00E+00,1.70E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,1.00,902.000,289.7,9.29E+00,3.34E-02,4.00E+02,0.00E+00,1.70E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3,2.00,802.000,285.2,5.89E+00,3.69E-02,4.00E+02,0.00E+00,1.70E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4,3.00,710.000,279.2,3.29E+00,4.22E-02,4.00E+02,0.00E+00,1.70E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5,4.00,628.000,273.2,1.90E+00,4.82E-02,4.00E+02,0.00E+00,1.70E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
6,5.00,554.000,267.2,9.99E-01,5.51E-02,4.00E+02,0.00E+00,1.69E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7,6.00,487.000,261.2,6.10E-01,6.41E-02,4.00E+02,0.00E+00,1.67E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8,7.00,426.000,254.7,3.69E-01,7.76E-02,4.00E+02,0.00E+00,1.65E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
9,8.00,372.000,248.2,2.10E-01,9.13E-02,4.00E+02,0.00E+00,1.63E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
10,9.00,324.000,241.7,1.20E-01,1.11E-01,4.00E+02,0.00E+00,1.62E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
11,10.00,281.000,235.3,6.39E-02,1.30E-01,4.00E+02,0.00E+00,1.58E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
12,11.00,243.000,228.8,2.20E-02,1.79E-01,4.00E+02,0.00E+00,1.54E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
13,12.00,209.000,222.3,5.99E-03,2.23E-01,4.00E+02,0.00E+00,1.51E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
14,13.00,179.000,215.8,1.44E-03,3.00E-01,4.00E+02,0.00E+00,1.48E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
15,14.00,153.000,215.7,7.68E-04,4.40E-01,4.00E+02,0.00E+00,1.45E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
16,15.00,130.000,215.7,4.44E-04,5.00E-01,4.00E+02,0.00E+00,1.42E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
17,16.00,111.000,215.7,3.68E-04,6.00E-01,4.00E+02,0.00E+00,1.39E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
18,17.00,95.000,215.7,3.05E-04,7.00E-01,4.00E+02,0.00E+00,1.36E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
19,18.00,81.200,216.8,2.55E-04,1.00E+00,4.00E+02,0.00E+00,1.32E+00,0.00E+00,2.09E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
