wavelength,Radiance (WVS 0.25),Radiance (WVS 0.5),Radiance (WVS 1.0),Radiance (WVS 1.5),Radiance (WVS 2.0)
4999.998,1.99e-13,2.82e-13,3.58e-13,2.3e-13,3.25e-13
2500.0,1.87e-12,3.7e-12,4.96e-12,2.63e-12,4.44e-12
1666.666,1.03e-11,2.24e-11,2.79e-11,1.58e-11,2.59e-11
1250.0,3.36e-11,7.68e-11,9.18e-11,5.43e-11,8.7e-11
1000.0,1.28e-10,2.14e-10,2.31e-10,1.77e-10,2.26e-10
833.333,3.9e-10,4.76e-10,4.82e-10,4.51e-10,4.81e-10
714.286,8.3e-10,8.86e-10,8.88e-10,8.77e-10,8.87e-10
625.0,1.48e-09,1.5e-09,1.51e-09,1.5e-09,1.5e-09
555.555,2.39e-09,2.4e-09,2.4e-09,2.4e-09,2.4e-09
500.0,3.62e-09,3.63e-09,3.63e-09,3.63e-09,3.63e-09
454.545,5.24e-09,5.28e-09,5.29e-09,5.28e-09,5.29e-09
416.667,7.41e-09,7.45e-09,7.45e-09,7.44e-09,7.45e-09
384.615,1.02e-08,1.02e-08,1.02e-08,1.02e-08,1.02e-08
357.143,1.36e-08,1.36e-08,1.37e-08,1.36e-08,1.36e-08
333.333,1.78e-08,1.79e-08,1.79e-08,1.79e-08,1.79e-08
312.5,2.3e-08,2.3e-08,2.31e-08,2.3e-08,2.31e-08
294.118,2.92e-08,2.92e-08,2.92e-08,2.92e-08,2.92e-08
277.778,3.65e-08,3.65e-08,3.65e-08,3.65e-08,3.65e-08
263.158,4.51e-08,4.51e-08,4.51e-08,4.51e-08,4.51e-08
250.0,5.51e-08,5.51e-08,5.51e-08,5.51e-08,5.51e-08
238.095,6.66e-08,6.66e-08,6.66e-08,6.66e-08,6.67e-08
227.273,7.98e-08,7.98e-08,7.99e-08,7.98e-08,7.99e-08
217.391,9.48e-08,9.49e-08,9.49e-08,9.49e-08,9.49e-08
208.333,1.12e-07,1.12e-07,1.12e-07,1.12e-07,1.12e-07
200.0,1.31e-07,1.31e-07,1.31e-07,1.31e-07,1.31e-07
192.308,1.52e-07,1.53e-07,1.53e-07,1.53e-07,1.53e-07
185.185,1.76e-07,1.76e-07,1.76e-07,1.76e-07,1.76e-07
178.571,2.03e-07,2.03e-07,2.03e-07,2.03e-07,2.03e-07
172.414,2.32e-07,2.32e-07,2.32e-07,2.32e-07,2.32e-07
166.667,2.65e-07,2.65e-07,2.65e-07,2.65e-07,2.65e-07
161.29,3e-07,3e-07,3e-07,3e-07,3e-07
156.25,3.39e-07,3.39e-07,3.39e-07,3.39e-07,3.39e-07
151.515,3.81e-07,3.82e-07,3.82e-07,3.82e-07,3.82e-07
147.059,4.28e-07,4.28e-07,4.28e-07,4.28e-07,4.28e-07
142.857,4.78e-07,4.78e-07,4.78e-07,4.78e-07,4.78e-07
138.889,5.32e-07,5.32e-07,5.32e-07,5.32e-07,5.32e-07
135.135,5.9e-07,5.9e-07,5.9e-07,5.9e-07,5.9e-07
131.579,6.53e-07,6.53e-07,6.53e-07,6.53e-07,6.53e-07
128.205,7.21e-07,7.21e-07,7.21e-07,7.21e-07,7.21e-07
125.0,7.94e-07,7.94e-07,7.94e-07,7.94e-07,7.94e-07
121.951,8.71e-07,8.71e-07,8.71e-07,8.71e-07,8.71e-07
119.048,9.54e-07,9.54e-07,9.54e-07,9.54e-07,9.54e-07
116.279,1.04e-06,1.04e-06,1.04e-06,1.04e-06,1.04e-06
113.636,1.14e-06,1.14e-06,1.14e-06,1.14e-06,1.14e-06
111.111,1.24e-06,1.24e-06,1.24e-06,1.24e-06,1.24e-06
108.696,1.34e-06,1.34e-06,1.34e-06,1.34e-06,1.34e-06
106.383,1.46e-06,1.46e-06,1.46e-06,1.46e-06,1.46e-06
104.167,1.58e-06,1.58e-06,1.58e-06,1.58e-06,1.58e-06
102.041,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06
100.0,1.84e-06,1.84e-06,1.84e-06,1.84e-06,1.84e-06
98.039,1.98e-06,1.98e-06,1.98e-06,1.98e-06,1.98e-06
96.154,2.12e-06,2.12e-06,2.12e-06,2.12e-06,2.12e-06
