 *****,MODTRAN3 Version 1.3,12/1/95,***** (Water Vapor == 2)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN), PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN), TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
2,4999.998,8.96E-10,3.58E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.96E-10,3.58E-13,8.96E-10,0.31369
4,2500.000,3.10E-09,4.96E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.10E-09,4.96E-12,7.10E-09,0.24544
6,1666.666,7.76E-09,2.79E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.76E-09,2.79E-11,2.26E-08,0.12758
8,1250.000,1.43E-08,9.18E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-08,9.18E-11,5.13E-08,0.05379
10,1000.000,2.31E-08,2.31E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-08,2.31E-10,9.75E-08,0.01714
12,833.333,3.35E-08,4.82E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.35E-08,4.82E-10,1.64E-07,0.00073
14,714.286,4.53E-08,8.88E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.53E-08,8.88E-10,2.55E-07,0.00000
16,625.000,5.88E-08,1.51E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.88E-08,1.51E-09,3.73E-07,0.00000
18,555.555,7.40E-08,2.40E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.40E-08,2.40E-09,5.21E-07,0.00000
20,500.000,9.08E-08,3.63E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.08E-08,3.63E-09,7.02E-07,0.00000
22,454.545,1.09E-07,5.29E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-07,5.29E-09,9.21E-07,0.00000
24,416.667,1.29E-07,7.45E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E-07,7.45E-09,1.18E-06,0.00000
26,384.615,1.51E-07,1.02E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-07,1.02E-08,1.48E-06,0.00000
28,357.143,1.74E-07,1.37E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E-07,1.37E-08,1.83E-06,0.00000
30,333.333,1.99E-07,1.79E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.99E-07,1.79E-08,2.23E-06,0.00000
32,312.500,2.25E-07,2.31E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E-07,2.31E-08,2.68E-06,0.00000
34,294.118,2.53E-07,2.92E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E-07,2.92E-08,3.18E-06,0.00000
36,277.778,2.82E-07,3.65E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.82E-07,3.65E-08,3.75E-06,0.00000
38,263.158,3.13E-07,4.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E-07,4.51E-08,4.37E-06,0.00000
40,250.000,3.44E-07,5.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.44E-07,5.51E-08,5.06E-06,0.00000
42,238.095,3.78E-07,6.66E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E-07,6.66E-08,5.82E-06,0.00000
44,227.273,4.13E-07,7.99E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.13E-07,7.99E-08,6.64E-06,0.00000
46,217.391,4.49E-07,9.49E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.49E-07,9.49E-08,7.54E-06,0.00000
48,208.333,4.86E-07,1.12E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.86E-07,1.12E-07,8.51E-06,0.00000
50,200.000,5.24E-07,1.31E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.24E-07,1.31E-07,9.56E-06,0.00000
52,192.308,5.64E-07,1.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.64E-07,1.53E-07,1.07E-05,0.00000
54,185.185,6.05E-07,1.76E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.05E-07,1.76E-07,1.19E-05,0.00000
56,178.571,6.47E-07,2.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.47E-07,2.03E-07,1.32E-05,0.00000
58,172.414,6.91E-07,2.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E-07,2.32E-07,1.46E-05,0.00000
60,166.667,7.35E-07,2.65E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.35E-07,2.65E-07,1.60E-05,0.00000
62,161.290,7.81E-07,3.00E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E-07,3.00E-07,1.76E-05,0.00000
64,156.250,8.28E-07,3.39E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.28E-07,3.39E-07,1.93E-05,0.00000
66,151.515,8.76E-07,3.82E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-07,3.82E-07,2.10E-05,0.00000
68,147.059,9.25E-07,4.28E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.25E-07,4.28E-07,2.29E-05,0.00000
70,142.857,9.75E-07,4.78E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.75E-07,4.78E-07,2.48E-05,0.00000
72,138.889,1.03E-06,5.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-06,5.32E-07,2.69E-05,0.00000
74,135.135,1.08E-06,5.90E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-06,5.90E-07,2.90E-05,0.00000
76,131.579,1.13E-06,6.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E-06,6.53E-07,3.13E-05,0.00000
78,128.205,1.19E-06,7.21E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-06,7.21E-07,3.37E-05,0.00000
80,125.000,1.24E-06,7.94E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-06,7.94E-07,3.61E-05,0.00000
82,121.951,1.30E-06,8.71E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-06,8.71E-07,3.87E-05,0.00000
84,119.048,1.35E-06,9.54E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E-06,9.54E-07,4.14E-05,0.00000
86,116.279,1.41E-06,1.04E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E-06,1.04E-06,4.43E-05,0.00000
88,113.636,1.47E-06,1.14E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E-06,1.14E-06,4.72E-05,0.00000
90,111.111,1.53E-06,1.24E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-06,1.24E-06,5.02E-05,0.00000
92,108.696,1.59E-06,1.34E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E-06,1.34E-06,5.34E-05,0.00000
94,106.383,1.65E-06,1.46E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-06,1.46E-06,5.67E-05,0.00000
96,104.167,1.71E-06,1.58E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-06,1.58E-06,6.01E-05,0.00000
98,102.041,1.77E-06,1.70E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-06,1.70E-06,6.37E-05,0.00000
100,100.000,1.84E-06,1.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E-06,1.84E-06,6.74E-05,0.00000
102,98.039,1.90E-06,1.98E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E-06,1.98E-06,7.12E-05,0.00000
104,96.154,1.96E-06,2.12E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E-06,2.12E-06,7.51E-05,0.00000
106,94.340,2.03E-06,2.28E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E-06,2.28E-06,7.91E-05,0.00000
108,92.593,2.10E-06,2.44E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E-06,2.44E-06,8.33E-05,0.00000
110,90.909,2.16E-06,2.62E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E-06,2.62E-06,8.77E-05,0.00000
