*****,MODTRAN3 Version 1.3,12/1/95,***** (Water Vapor == 0.25)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN), PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN), TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
2.,4999.998,4.97E-10,1.99E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.97E-10,1.99E-13,4.97E-10,0.56411
4.,2500.000,1.17E-09,1.87E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.17E-09,1.87E-12,2.84E-09,0.66617
6.,1666.666,2.86E-09,1.03E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E-09,1.03E-11,8.55E-09,0.67214
8.,1250.000,5.25E-09,3.36E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E-09,3.36E-11,1.91E-08,0.64883
10.,1000.000,1.28E-08,1.28E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-08,1.28E-10,4.47E-08,0.47980
12.,833.333,2.71E-08,3.90E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E-08,3.90E-10,9.89E-08,0.20330
14.,714.286,4.23E-08,8.30E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.23E-08,8.30E-10,1.84E-07,0.06226
16.,625.000,5.78E-08,1.48E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.78E-08,1.48E-09,2.99E-07,0.01440
18.,555.555,7.38E-08,2.39E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.38E-08,2.39E-09,4.47E-07,0.00128
20.,500.000,9.05E-08,3.62E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.05E-08,3.62E-09,6.28E-07,0.00119
22.,454.545,1.08E-07,5.24E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-07,5.24E-09,8.44E-07,0.00395
24.,416.667,1.29E-07,7.41E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E-07,7.41E-09,1.10E-06,0.00202
26.,384.615,1.51E-07,1.02E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-07,1.02E-08,1.40E-06,0.00035
28.,357.143,1.73E-07,1.36E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E-07,1.36E-08,1.75E-06,0.00127
30.,333.333,1.98E-07,1.78E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-07,1.78E-08,2.15E-06,0.00076
32.,312.500,2.25E-07,2.30E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.25E-07,2.30E-08,2.59E-06,0.00002
34.,294.118,2.53E-07,2.92E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.53E-07,2.92E-08,3.10E-06,0.00000
36.,277.778,2.82E-07,3.65E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.82E-07,3.65E-08,3.66E-06,0.00000
38.,263.158,3.12E-07,4.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.12E-07,4.51E-08,4.29E-06,0.00000
40.,250.000,3.44E-07,5.51E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.44E-07,5.51E-08,4.98E-06,0.00000
42.,238.095,3.77E-07,6.66E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.77E-07,6.66E-08,5.73E-06,0.00000
44.,227.273,4.12E-07,7.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E-07,7.98E-08,6.56E-06,0.00000
46.,217.391,4.48E-07,9.48E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.48E-07,9.48E-08,7.45E-06,0.00000
48.,208.333,4.85E-07,1.12E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.85E-07,1.12E-07,8.42E-06,0.00000
50.,200.000,5.24E-07,1.31E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.24E-07,1.31E-07,9.47E-06,0.00000
52.,192.308,5.64E-07,1.52E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.64E-07,1.52E-07,1.06E-05,0.00000
54.,185.185,6.05E-07,1.76E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.05E-07,1.76E-07,1.18E-05,0.00000
56.,178.571,6.47E-07,2.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.47E-07,2.03E-07,1.31E-05,0.00000
58.,172.414,6.91E-07,2.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E-07,2.32E-07,1.45E-05,0.00000
60.,166.667,7.35E-07,2.65E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.35E-07,2.65E-07,1.60E-05,0.00000
62.,161.290,7.81E-07,3.00E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.81E-07,3.00E-07,1.75E-05,0.00000
64.,156.250,8.28E-07,3.39E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.28E-07,3.39E-07,1.92E-05,0.00000
66.,151.515,8.76E-07,3.81E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-07,3.81E-07,2.09E-05,0.00000
68.,147.059,9.25E-07,4.28E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.25E-07,4.28E-07,2.28E-05,0.00000
70.,142.857,9.75E-07,4.78E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.75E-07,4.78E-07,2.47E-05,0.00000
72.,138.889,1.03E-06,5.32E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-06,5.32E-07,2.68E-05,0.00000
74.,135.135,1.08E-06,5.90E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-06,5.90E-07,2.89E-05,0.00000
76.,131.579,1.13E-06,6.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E-06,6.53E-07,3.12E-05,0.00000
78.,128.205,1.19E-06,7.21E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-06,7.21E-07,3.36E-05,0.00000
80.,125.000,1.24E-06,7.94E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-06,7.94E-07,3.60E-05,0.00000
82.,121.951,1.30E-06,8.71E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-06,8.71E-07,3.86E-05,0.00000
84.,119.048,1.35E-06,9.54E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E-06,9.54E-07,4.13E-05,0.00000
86.,116.279,1.41E-06,1.04E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E-06,1.04E-06,4.42E-05,0.00000
88.,113.636,1.47E-06,1.14E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E-06,1.14E-06,4.71E-05,0.00000
90.,111.111,1.53E-06,1.24E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-06,1.24E-06,5.02E-05,0.00000
92.,108.696,1.59E-06,1.34E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.59E-06,1.34E-06,5.33E-05,0.00000
94.,106.383,1.65E-06,1.46E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-06,1.46E-06,5.66E-05,0.00000
96.,104.167,1.71E-06,1.58E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-06,1.58E-06,6.00E-05,0.00000
98.,102.041,1.77E-06,1.70E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-06,1.70E-06,6.36E-05,0.00000
100.,100.000,1.84E-06,1.84E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E-06,1.84E-06,6.73E-05,0.00000
102., 98.039,1.90E-06,1.98E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E-06,1.98E-06,7.11E-05,0.00000
104., 96.154,1.96E-06,2.12E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E-06,2.12E-06,7.50E-05,0.00000
106., 94.340,2.03E-06,2.28E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E-06,2.28E-06,7.91E-05,0.00000
108., 92.593,2.10E-06,2.44E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E-06,2.44E-06,8.32E-05,0.00000
110., 90.909,2.16E-06,2.62E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E-06,2.62E-06,8.76E-05,0.00000
112., 89.286,2.23E-06,2.80E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E-06,2.80E-06,9.20E-05,0.00000
114., 87.719,2.30E-06,2.98E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E-06,2.98E-06,9.66E-05,0.00000
116., 86.207,2.36E-06,3.18E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.36E-06,3.18E-06,1.01E-04,0.00000
118., 84.746,2.43E-06,3.39E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.43E-06,3.39E-06,1.06E-04,0.00000
120., 83.333,2.50E-06,3.61E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.50E-06,3.61E-06,1.11E-04,0.00000
122., 81.967,2.57E-06,3.83E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E-06,3.83E-06,1.16E-04,0.00000
124., 80.645,2.64E-06,4.07E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E-06,4.07E-06,1.22E-04,0.00000
126., 79.365,2.71E-06,4.31E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E-06,4.31E-06,1.27E-04,0.00000
128., 78.125,2.79E-06,4.56E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.79E-06,4.56E-06,1.33E-04,0.00000
130., 76.923,2.86E-06,4.83E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E-06,4.83E-06,1.38E-04,0.00000
132., 75.758,2.93E-06,5.11E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-06,5.11E-06,1.44E-04,0.00000
134., 74.627,3.00E-06,5.39E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-06,5.39E-06,1.50E-04,0.00000
136., 73.529,3.08E-06,5.69E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.08E-06,5.69E-06,1.56E-04,0.00000
138., 72.464,3.15E-06,6.00E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E-06,6.00E-06,1.63E-04,0.00000
140., 71.429,3.22E-06,6.32E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E-06,6.32E-06,1.69E-04,0.00000
142., 70.423,3.30E-06,6.65E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E-06,6.65E-06,1.76E-04,0.00000
144., 69.444,3.37E-06,6.99E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.37E-06,6.99E-06,1.82E-04,0.00000
146., 68.493,3.45E-06,7.35E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.45E-06,7.35E-06,1.89E-04,0.00000
148., 67.568,3.52E-06,7.72E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.52E-06,7.72E-06,1.96E-04,0.00000
150., 66.667,3.60E-06,8.10E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.60E-06,8.10E-06,2.04E-04,0.00000
152., 65.789,3.67E-06,8.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.67E-06,8.49E-06,2.11E-04,0.00000
154., 64.935,3.75E-06,8.90E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.75E-06,8.90E-06,2.18E-04,0.00000
156., 64.103,3.83E-06,9.31E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E-06,9.31E-06,2.26E-04,0.00000
158., 63.291,3.90E-06,9.75E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.90E-06,9.75E-06,2.34E-04,0.00000
160., 62.500,3.98E-06,1.02E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.98E-06,1.02E-05,2.42E-04,0.00000
162., 61.728,4.06E-06,1.06E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.06E-06,1.06E-05,2.50E-04,0.00000
164., 60.976,4.13E-06,1.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.13E-06,1.11E-05,2.58E-04,0.00000
166., 60.241,4.21E-06,1.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.21E-06,1.16E-05,2.67E-04,0.00000
168., 59.524,4.29E-06,1.21E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.29E-06,1.21E-05,2.75E-04,0.00000
170., 58.824,4.37E-06,1.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.37E-06,1.26E-05,2.84E-04,0.00000
172., 58.140,4.45E-06,1.32E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.45E-06,1.32E-05,2.93E-04,0.00000
174., 57.471,4.52E-06,1.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.52E-06,1.37E-05,3.02E-04,0.00000
176., 56.818,4.60E-06,1.43E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.60E-06,1.43E-05,3.11E-04,0.00000
178., 56.180,4.68E-06,1.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.68E-06,1.48E-05,3.21E-04,0.00000
180., 55.556,4.76E-06,1.54E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.76E-06,1.54E-05,3.30E-04,0.00000
182., 54.945,4.84E-06,1.60E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.84E-06,1.60E-05,3.40E-04,0.00000
184., 54.348,4.91E-06,1.66E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.91E-06,1.66E-05,3.50E-04,0.00000
186., 53.763,4.99E-06,1.73E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.99E-06,1.73E-05,3.60E-04,0.00000
188., 53.191,5.07E-06,1.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.07E-06,1.79E-05,3.70E-04,0.00000
190., 52.632,5.15E-06,1.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.15E-06,1.86E-05,3.80E-04,0.00000
192., 52.083,5.23E-06,1.93E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.23E-06,1.93E-05,3.90E-04,0.00000
194., 51.546,5.31E-06,2.00E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.31E-06,2.00E-05,4.01E-04,0.00000
196., 51.020,5.39E-06,2.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.39E-06,2.07E-05,4.12E-04,0.00000
198., 50.505,5.47E-06,2.14E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.47E-06,2.14E-05,4.23E-04,0.00000
200., 50.000,5.55E-06,2.22E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.55E-06,2.22E-05,4.34E-04,0.00000
202., 49.505,5.62E-06,2.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.62E-06,2.29E-05,4.45E-04,0.00000
204., 49.020,5.70E-06,2.37E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.70E-06,2.37E-05,4.56E-04,0.00000
206., 48.544,5.78E-06,2.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.78E-06,2.45E-05,4.68E-04,0.00000
208., 48.077,5.86E-06,2.53E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.86E-06,2.53E-05,4.80E-04,0.00000
210., 47.619,5.94E-06,2.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.94E-06,2.62E-05,4.92E-04,0.00000
212., 47.170,6.02E-06,2.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.02E-06,2.70E-05,5.04E-04,0.00000
214., 46.729,6.09E-06,2.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.09E-06,2.79E-05,5.16E-04,0.00000
216., 46.296,6.17E-06,2.88E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.17E-06,2.88E-05,5.28E-04,0.00000
218., 45.872,6.25E-06,2.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.25E-06,2.97E-05,5.41E-04,0.00000
220., 45.455,6.33E-06,3.06E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.33E-06,3.06E-05,5.53E-04,0.00000
222., 45.045,6.40E-06,3.16E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.40E-06,3.16E-05,5.66E-04,0.00000
224., 44.643,6.48E-06,3.25E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.48E-06,3.25E-05,5.79E-04,0.00000
226., 44.248,6.56E-06,3.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.56E-06,3.35E-05,5.92E-04,0.00000
228., 43.860,6.64E-06,3.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.64E-06,3.45E-05,6.06E-04,0.00000
230., 43.478,6.71E-06,3.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.71E-06,3.55E-05,6.19E-04,0.00000
232., 43.103,6.79E-06,3.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.79E-06,3.65E-05,6.33E-04,0.00000
234., 42.735,6.86E-06,3.76E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.86E-06,3.76E-05,6.46E-04,0.00000
236., 42.373,6.94E-06,3.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-06,3.86E-05,6.60E-04,0.00000
238., 42.017,7.01E-06,3.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.01E-06,3.97E-05,6.74E-04,0.00000
240., 41.667,7.09E-06,4.08E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.09E-06,4.08E-05,6.88E-04,0.00000
242., 41.322,7.17E-06,4.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.17E-06,4.20E-05,7.03E-04,0.00000
244., 40.984,7.25E-06,4.31E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.25E-06,4.31E-05,7.17E-04,0.00000
246., 40.650,7.32E-06,4.43E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.32E-06,4.43E-05,7.32E-04,0.00000
248., 40.323,7.40E-06,4.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.40E-06,4.55E-05,7.47E-04,0.00000
250., 40.000,7.47E-06,4.67E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.47E-06,4.67E-05,7.62E-04,0.00000
252., 39.683,7.55E-06,4.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.55E-06,4.79E-05,7.77E-04,0.00000
254., 39.370,7.62E-06,4.92E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.62E-06,4.92E-05,7.92E-04,0.00000
256., 39.063,7.69E-06,5.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.69E-06,5.04E-05,8.07E-04,0.00000
258., 38.760,7.76E-06,5.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.76E-06,5.17E-05,8.23E-04,0.00000
260., 38.462,7.83E-06,5.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.83E-06,5.29E-05,8.38E-04,0.00000
262., 38.168,7.90E-06,5.42E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.90E-06,5.42E-05,8.54E-04,0.00000
264., 37.879,7.98E-06,5.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.98E-06,5.56E-05,8.70E-04,0.00000
266., 37.594,8.05E-06,5.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.05E-06,5.70E-05,8.86E-04,0.00000
268., 37.313,8.12E-06,5.83E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.12E-06,5.83E-05,9.03E-04,0.00000
270., 37.037,8.19E-06,5.97E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.19E-06,5.97E-05,9.19E-04,0.00000
272., 36.765,8.26E-06,6.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.26E-06,6.11E-05,9.35E-04,0.00000
274., 36.496,8.34E-06,6.26E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.34E-06,6.26E-05,9.52E-04,0.00000
276., 36.232,8.41E-06,6.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.41E-06,6.41E-05,9.69E-04,0.00000
278., 35.971,8.49E-06,6.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.49E-06,6.56E-05,9.86E-04,0.00000
280., 35.714,8.56E-06,6.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.56E-06,6.71E-05,1.00E-03,0.00000
282., 35.461,8.63E-06,6.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.63E-06,6.86E-05,1.02E-03,0.00000
284., 35.211,8.69E-06,7.01E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.69E-06,7.01E-05,1.04E-03,0.00000
