*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==1)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
2.,4999.998,7.07E-10,2.83E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.07E-10,2.83E-13,7.07E-10,0.43236
4.,2500.000,2.32E-09,3.72E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.32E-09,3.72E-12,5.35E-09,0.42103
6.,1666.666,6.22E-09,2.24E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.22E-09,2.24E-11,1.78E-08,0.30094
8.,1250.000,1.20E-08,7.68E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E-08,7.68E-11,4.18E-08,0.20238
10.,1000.000,2.13E-08,2.13E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.13E-08,2.13E-10,8.44E-08,0.09332
12.,833.333,3.29E-08,4.73E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.29E-08,4.73E-10,1.50E-07,0.01224
14.,714.286,4.49E-08,8.80E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.49E-08,8.80E-10,2.40E-07,0.00026
16.,625.000,5.83E-08,1.49E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.83E-08,1.49E-09,3.57E-07,0.00001
18.,555.555,7.34E-08,2.38E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.34E-08,2.38E-09,5.03E-07,0.00000
20.,500.000,9.01E-08,3.60E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.01E-08,3.60E-09,6.84E-07,0.00000
22.,454.545,1.08E-07,5.25E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-07,5.25E-09,9.00E-07,0.00000
24.,416.667,1.28E-07,7.39E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-07,7.39E-09,1.16E-06,0.00000
26.,384.615,1.50E-07,1.01E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-07,1.01E-08,1.46E-06,0.00000
28.,357.143,1.73E-07,1.35E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E-07,1.35E-08,1.80E-06,0.00000
30.,333.333,1.97E-07,1.78E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.97E-07,1.78E-08,2.20E-06,0.00000
32.,312.500,2.23E-07,2.29E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.23E-07,2.29E-08,2.64E-06,0.00000
34.,294.118,2.51E-07,2.90E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.51E-07,2.90E-08,3.15E-06,0.00000
36.,277.778,2.80E-07,3.63E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.80E-07,3.63E-08,3.70E-06,0.00000
38.,263.158,3.10E-07,4.48E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.10E-07,4.48E-08,4.33E-06,0.00000
40.,250.000,3.42E-07,5.47E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.42E-07,5.47E-08,5.01E-06,0.00000
42.,238.095,3.75E-07,6.61E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.75E-07,6.61E-08,5.76E-06,0.00000
44.,227.273,4.09E-07,7.92E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.09E-07,7.92E-08,6.58E-06,0.00000
46.,217.391,4.45E-07,9.42E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.45E-07,9.42E-08,7.47E-06,0.00000
48.,208.333,4.82E-07,1.11E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.82E-07,1.11E-07,8.43E-06,0.00000
50.,200.000,5.20E-07,1.30E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.20E-07,1.30E-07,9.47E-06,0.00000
52.,192.308,5.60E-07,1.51E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.60E-07,1.51E-07,1.06E-05,0.00000
54.,185.185,6.00E-07,1.75E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E-07,1.75E-07,1.18E-05,0.00000
56.,178.571,6.42E-07,2.01E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.42E-07,2.01E-07,1.31E-05,0.00000
58.,172.414,6.85E-07,2.31E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.85E-07,2.31E-07,1.44E-05,0.00000
