*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
2.,4999.998,5.77E-10,2.31E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.77E-10,2.31E-13,5.77E-10,0.50930
4.,2500.000,1.67E-09,2.67E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E-09,2.67E-12,3.91E-09,0.55830
6.,1666.666,4.45E-09,1.60E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.45E-09,1.60E-11,1.28E-08,0.49128
8.,1250.000,8.59E-09,5.50E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.59E-09,5.50E-11,3.00E-08,0.42092
10.,1000.000,1.77E-08,1.77E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-08,1.77E-10,6.53E-08,0.25410
12.,833.333,3.10E-08,4.46E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.10E-08,4.46E-10,1.27E-07,0.06298
14.,714.286,4.40E-08,8.63E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.40E-08,8.63E-10,2.15E-07,0.00742
16.,625.000,5.76E-08,1.47E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.76E-08,1.47E-09,3.30E-07,0.00081
18.,555.555,7.26E-08,2.35E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.26E-08,2.35E-09,4.76E-07,0.00003
20.,500.000,8.91E-08,3.56E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.91E-08,3.56E-09,6.54E-07,0.00002
22.,454.545,1.07E-07,5.18E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-07,5.18E-09,8.68E-07,0.00002
24.,416.667,1.27E-07,7.30E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-07,7.30E-09,1.12E-06,0.00001
26.,384.615,1.48E-07,1.00E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.48E-07,1.00E-08,1.42E-06,0.00000
28.,357.143,1.71E-07,1.34E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-07,1.34E-08,1.76E-06,0.00000
30.,333.333,1.95E-07,1.75E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E-07,1.75E-08,2.15E-06,0.00000
32.,312.500,2.21E-07,2.26E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.21E-07,2.26E-08,2.59E-06,0.00000
34.,294.118,2.48E-07,2.87E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.48E-07,2.87E-08,3.09E-06,0.00000
