wavelength, Radiance (T-5), Radiance (T), Radiance (T+5)
4999.998,2.31e-13,2.3e-13,2.29e-13
2500.0,2.67e-12,2.63e-12,2.6e-12
1666.666,1.6e-11,1.58e-11,1.56e-11
1250.0,5.5e-11,5.43e-11,5.36e-11
1000.0,1.77e-10,1.77e-10,1.77e-10
833.333,4.46e-10,4.51e-10,4.56e-10
714.286,8.63e-10,8.77e-10,8.91e-10
625.0,1.47e-09,1.5e-09,1.53e-09
555.555,2.35e-09,2.4e-09,2.44e-09
500.0,3.56e-09,3.63e-09,3.69e-09
454.545,5.18e-09,5.28e-09,5.37e-09
416.667,7.3e-09,7.44e-09,7.58e-09
384.615,1e-08,1.02e-08,1.04e-08
357.143,1.34e-08,1.36e-08,1.39e-08
333.333,1.75e-08,1.79e-08,1.82e-08
312.5,2.26e-08,2.3e-08,2.35e-08
294.118,2.87e-08,2.92e-08,2.98e-08
277.778,3.58e-08,3.65e-08,3.72e-08
263.158,4.43e-08,4.51e-08,4.6e-08
250.0,5.41e-08,5.51e-08,5.62e-08
238.095,6.53e-08,6.66e-08,6.79e-08
227.273,7.83e-08,7.98e-08,8.14e-08
217.391,9.3e-08,9.49e-08,9.67e-08
208.333,1.1e-07,1.12e-07,1.14e-07
200.0,1.28e-07,1.31e-07,1.34e-07
192.308,1.5e-07,1.53e-07,1.56e-07
185.185,1.73e-07,1.76e-07,1.8e-07
178.571,1.99e-07,2.03e-07,2.07e-07
172.414,2.28e-07,2.32e-07,2.37e-07
166.667,2.59e-07,2.65e-07,2.7e-07
161.29,2.94e-07,3e-07,3.06e-07
156.25,3.32e-07,3.39e-07,3.46e-07
151.515,3.74e-07,3.82e-07,3.89e-07
147.059,4.19e-07,4.28e-07,4.36e-07
142.857,4.68e-07,4.78e-07,4.88e-07
138.889,5.21e-07,5.32e-07,5.43e-07
135.135,5.78e-07,5.9e-07,6.03e-07
131.579,6.4e-07,6.53e-07,6.67e-07
128.205,7.06e-07,7.21e-07,7.36e-07
125.0,7.77e-07,7.94e-07,8.1e-07
121.951,8.53e-07,8.71e-07,8.9e-07
119.048,9.34e-07,9.54e-07,9.75e-07
116.279,1.02e-06,1.04e-06,1.07e-06
113.636,1.11e-06,1.14e-06,1.16e-06
111.111,1.21e-06,1.24e-06,1.26e-06
108.696,1.31e-06,1.34e-06,1.37e-06
106.383,1.43e-06,1.46e-06,1.49e-06
104.167,1.54e-06,1.58e-06,1.61e-06
102.041,1.67e-06,1.7e-06,1.74e-06
100.0,1.8e-06,1.84e-06,1.88e-06
98.039,1.93e-06,1.98e-06,2.02e-06
96.154,2.08e-06,2.12e-06,2.17e-06
94.34,2.23e-06,2.28e-06,2.33e-06
92.593,2.39e-06,2.44e-06,2.5e-06
90.909,2.56e-06,2.62e-06,2.68e-06
89.286,2.73e-06,2.8e-06,2.86e-06
87.719,2.92e-06,2.99e-06,3.05e-06
86.207,3.11e-06,3.18e-06,3.26e-06
84.746,3.31e-06,3.39e-06,3.47e-06
83.333,3.52e-06,3.6e-06,3.69e-06
81.967,3.74e-06,3.83e-06,3.92e-06
80.645,3.97e-06,4.06e-06,4.16e-06
79.365,4.21e-06,4.31e-06,4.41e-06
78.125,4.46e-06,4.56e-06,4.67e-06
76.923,4.72e-06,4.83e-06,4.94e-06
75.758,4.98e-06,5.11e-06,5.23e-06
74.627,5.26e-06,5.39e-06,5.52e-06
73.529,5.55e-06,5.69e-06,5.83e-06
72.464,5.85e-06,6e-06,6.14e-06
71.429,6.17e-06,6.32e-06,6.47e-06
70.423,6.49e-06,6.65e-06,6.81e-06
69.444,6.82e-06,6.99e-06,7.17e-06
68.493,7.17e-06,7.35e-06,7.53e-06
67.568,7.53e-06,7.72e-06,7.91e-06
66.667,7.9e-06,8.1e-06,8.3e-06
65.789,8.28e-06,8.49e-06,8.7e-06
64.935,8.67e-06,8.89e-06,9.12e-06
64.103,9.08e-06,9.31e-06,9.55e-06
63.291,9.5e-06,9.75e-06,9.99e-06
62.5,9.93e-06,1.02e-05,1.04e-05
61.728,1.04e-05,1.07e-05,1.09e-05
60.976,1.08e-05,1.11e-05,1.14e-05
60.241,1.13e-05,1.16e-05,1.19e-05
59.524,1.18e-05,1.21e-05,1.24e-05
58.824,1.23e-05,1.26e-05,1.29e-05
58.14,1.28e-05,1.32e-05,1.35e-05
57.471,1.33e-05,1.37e-05,1.41e-05
56.818,1.39e-05,1.43e-05,1.46e-05
56.18,1.44e-05,1.48e-05,1.52e-05
55.556,1.5e-05,1.54e-05,1.58e-05
54.945,1.56e-05,1.6e-05,1.64e-05
54.348,1.62e-05,1.66e-05,1.71e-05
53.763,1.68e-05,1.73e-05,1.77e-05
53.191,1.74e-05,1.79e-05,1.84e-05
52.632,1.81e-05,1.86e-05,1.91e-05
52.083,1.88e-05,1.93e-05,1.98e-05
