 ***** MODTRAN3 Version 1.3/12/1/95 ***** (Water Vapor == 0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN), PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN), TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
2.,4999.998,5.74E-10,2.30E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.74E-10,2.30E-13,5.74E-10,0.51773
4.,2500.000,1.65E-09,2.63E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-09,2.63E-12,3.87E-09,0.57068
6.,1666.666,4.39E-09,1.58E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.39E-09,1.58E-11,1.27E-08,0.50662
8.,1250.000,8.48E-09,5.43E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.48E-09,5.43E-11,2.96E-08,0.43870
10.,1000.000,1.77E-08,1.77E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-08,1.77E-10,6.49E-08,0.26889
12.,833.333,3.13E-08,4.51E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E-08,4.51E-10,1.28E-07,0.06948
14.,714.286,4.47E-08,8.77E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.47E-08,8.77E-10,2.17E-07,0.00905
16.,625.000,5.86E-08,1.50E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.86E-08,1.50E-09,3.34E-07,0.00105
18.,555.555,7.39E-08,2.40E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E-08,2.40E-09,4.82E-07,0.00004
20.,500.000,9.07E-08,3.63E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.07E-08,3.63E-09,6.64E-07,0.00003
22.,454.545,1.09E-07,5.28E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-07,5.28E-09,8.82E-07,0.00003
