*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==1)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
2.,4999.998,7.01E-10,2.81E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.01E-10,2.81E-13,7.01E-10,0.44778
4.,2500.000,2.29E-09,3.66E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.29E-09,3.66E-12,5.28E-09,0.44254
6.,1666.666,6.18E-09,2.22E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.18E-09,2.22E-11,1.76E-08,0.32351
8.,1250.000,1.20E-08,7.66E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E-08,7.66E-11,4.16E-08,0.22469
10.,1000.000,2.16E-08,2.16E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E-08,2.16E-10,8.47E-08,0.10685
12.,833.333,3.36E-08,4.84E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.36E-08,4.84E-10,1.52E-07,0.01507
14.,714.286,4.60E-08,9.02E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.60E-08,9.02E-10,2.44E-07,0.00041
16.,625.000,5.98E-08,1.53E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.98E-08,1.53E-09,3.64E-07,0.00002
18.,555.555,7.53E-08,2.44E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.53E-08,2.44E-09,5.14E-07,0.00000
20.,500.000,9.24E-08,3.70E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.24E-08,3.70E-09,6.99E-07,0.00000
22.,454.545,1.11E-07,5.38E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.11E-07,5.38E-09,9.21E-07,0.00000
24.,416.667,1.32E-07,7.58E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-07,7.58E-09,1.18E-06,0.00000
26.,384.615,1.54E-07,1.04E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54E-07,1.04E-08,1.49E-06,0.00000
28.,357.143,1.77E-07,1.39E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.77E-07,1.39E-08,1.85E-06,0.00000
30.,333.333,2.02E-07,1.82E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.02E-07,1.82E-08,2.25E-06,0.00000
32.,312.500,2.29E-07,2.35E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.29E-07,2.35E-08,2.71E-06,0.00000
34.,294.118,2.58E-07,2.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.58E-07,2.98E-08,3.23E-06,0.00000
36.,277.778,2.87E-07,3.72E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.87E-07,3.72E-08,3.80E-06,0.00000
38.,263.158,3.19E-07,4.60E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.19E-07,4.60E-08,4.44E-06,0.00000
40.,250.000,3.51E-07,5.62E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.51E-07,5.62E-08,5.14E-06,0.00000
42.,238.095,3.85E-07,6.79E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.85E-07,6.79E-08,5.91E-06,0.00000
44.,227.273,4.20E-07,8.14E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.20E-07,8.14E-08,6.75E-06,0.00000
46.,217.391,4.57E-07,9.67E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.57E-07,9.67E-08,7.66E-06,0.00000
48.,208.333,4.95E-07,1.14E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.95E-07,1.14E-07,8.66E-06,0.00000
50.,200.000,5.35E-07,1.34E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.35E-07,1.34E-07,9.72E-06,0.00000
52.,192.308,5.75E-07,1.56E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.75E-07,1.56E-07,1.09E-05,0.00000
54.,185.185,6.17E-07,1.80E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.17E-07,1.80E-07,1.21E-05,0.00000
56.,178.571,6.60E-07,2.07E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.60E-07,2.07E-07,1.34E-05,0.00000
58.,172.414,7.05E-07,2.37E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.05E-07,2.37E-07,1.48E-05,0.00000
60.,166.667,7.50E-07,2.70E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.50E-07,2.70E-07,1.63E-05,0.00000
62.,161.290,7.97E-07,3.06E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.97E-07,3.06E-07,1.79E-05,0.00000
64.,156.250,8.45E-07,3.46E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.45E-07,3.46E-07,1.96E-05,0.00000
66.,151.515,8.94E-07,3.89E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.94E-07,3.89E-07,2.14E-05,0.00000
68.,147.059,9.44E-07,4.37E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.44E-07,4.37E-07,2.33E-05,0.00000
70.,142.857,9.95E-07,4.88E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.95E-07,4.88E-07,2.53E-05,0.00000
72.,138.889,1.05E-06,5.43E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-06,5.43E-07,2.74E-05,0.00000
74.,135.135,1.10E-06,6.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E-06,6.03E-07,2.96E-05,0.00000
76.,131.579,1.15E-06,6.67E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E-06,6.67E-07,3.19E-05,0.00000
78.,128.205,1.21E-06,7.36E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E-06,7.36E-07,3.43E-05,0.00000
80.,125.000,1.27E-06,8.10E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-06,8.10E-07,3.68E-05,0.00000
82.,121.951,1.32E-06,8.90E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-06,8.90E-07,3.95E-05,0.00000
84.,119.048,1.38E-06,9.75E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-06,9.75E-07,4.23E-05,0.00000
86.,116.279,1.44E-06,1.07E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-06,1.07E-06,4.51E-05,0.00000
88.,113.636,1.50E-06,1.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-06,1.16E-06,4.81E-05,0.00000
90.,111.111,1.56E-06,1.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E-06,1.26E-06,5.13E-05,0.00000
92.,108.696,1.62E-06,1.37E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.62E-06,1.37E-06,5.45E-05,0.00000
94.,106.383,1.68E-06,1.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-06,1.49E-06,5.79E-05,0.00000
96.,104.167,1.75E-06,1.61E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.75E-06,1.61E-06,6.14E-05,0.00000
98.,102.041,1.81E-06,1.74E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E-06,1.74E-06,6.50E-05,0.00000
100.,100.000,1.88E-06,1.88E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-06,1.88E-06,6.87E-05,0.00000
102.,98.039,1.94E-06,2.02E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E-06,2.02E-06,7.26E-05,0.00000
104.,96.154,2.01E-06,2.17E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-06,2.17E-06,7.66E-05,0.00000
106.,94.340,2.07E-06,2.33E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.07E-06,2.33E-06,8.08E-05,0.00000
108.,92.593,2.14E-06,2.50E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E-06,2.50E-06,8.51E-05,0.00000
