Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
02:01:2019,12:00:00,2,-999.,0.077442,0.083439,-999.,-999.,0.102461,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.126444,-999.,-999.,0.139362,-999.,-999.,0.151838,0.162166,0.645072,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.899560,0.744522,0.831035,0.923367,0.673727,-999.,0,9,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,9,9,0,0,0,0,0,0,0,9,9,9,9,9,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
03:01:2019,12:00:00,3,-999.,0.015517,0.017406,-999.,-999.,0.023330,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.027906,-999.,-999.,0.035204,-999.,-999.,0.032003,0.029143,0.323493,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.970115,0.482324,0.930572,0.857457,-0.246540,-999.,0,39,44,0,0,44,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44,43,44,0,0,0,0,0,0,0,44,44,44,44,29,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
05:01:2019,12:00:00,5,-999.,0.015424,0.017160,-999.,-999.,0.020756,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.027903,-999.,-999.,0.037334,-999.,-999.,0.037653,0.035643,0.389196,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.113963,1.077212,1.339322,0.908792,-0.154818,-999.,0,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,15,15,0,0,0,0,0,0,0,15,15,15,15,15,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
07:01:2019,12:00:00,7,-999.,0.021820,0.024482,-999.,-999.,0.032092,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.035633,-999.,-999.,0.042696,-999.,-999.,0.042490,0.040999,0.570539,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.766074,0.654718,0.634799,0.693631,-0.140587,-999.,0,50,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,50,0,0,0,0,0,0,0,50,50,50,50,50,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
08:01:2019,12:00:00,8,-999.,0.021231,0.024088,-999.,-999.,0.031420,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.036975,-999.,-999.,0.044308,-999.,-999.,0.047774,0.047922,0.610096,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.855902,0.945329,0.791771,0.789213,0.345077,-999.,0,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
09:01:2019,12:00:00,9,-999.,0.042452,0.045217,-999.,-999.,0.051614,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.059908,-999.,-999.,0.067941,-999.,-999.,0.070457,0.070757,0.906343,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.594228,0.594433,0.639156,0.528205,0.167127,-999.,0,6,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,6,6,6,6,6,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
10:01:2019,12:00:00,10,-999.,0.051580,0.055519,-999.,-999.,0.064670,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.077678,-999.,-999.,0.088469,-999.,-999.,0.094818,0.097629,1.049774,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.685019,0.728563,0.729102,0.628264,0.393069,-999.,0,12,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
11:01:2019,12:00:00,11,-999.,0.032002,0.037179,-999.,-999.,0.049542,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.064508,-999.,-999.,0.075416,-999.,-999.,0.087739,0.095471,0.667068,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.096993,1.174624,1.045875,1.081817,0.973368,-999.,0,9,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,9,9,0,0,0,0,0,0,0,9,9,9,9,9,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
12:01:2019,12:00:00,12,-999.,0.046511,0.051760,-999.,-999.,0.067837,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.076496,-999.,-999.,0.088152,-999.,-999.,0.093410,0.098062,0.586174,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.879788,0.827806,0.662743,0.858746,0.451081,-999.,0,12,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
16:01:2019,12:00:00,16,-999.,0.030430,0.034826,-999.,-999.,0.046730,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.053661,-999.,-999.,0.062883,-999.,-999.,0.067455,0.069432,0.680838,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.852471,0.904710,0.680948,0.823754,0.471693,-999.,0,24,24,0,0,24,0,0,0,0,0,0,0,0,24,0,0,24,0,0,24,24,24,0,0,0,0,0,0,0,24,24,24,24,24,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
