date,PWV(Suomi),PWV(Aero),PWV(ABQ),PWV(EPZ),PWV(wt mean)
1/1/2020,0.57,NaN,0.62,0.71,0.65
1/2/2020,0.87,NaN,0.83,1.12,0.93
1/3/2020,0.49,NaN,0.48,0.57,0.51
1/4/2020,0.52,NaN,0.58,0.6,0.59
1/5/2020,0.29,NaN,0.44,0.47,0.45
1/6/2020,0.33,NaN,0.33,0.38,0.35
1/7/2020,0.29,NaN,0.37,0.22,0.32
1/8/2020,0.13,NaN,0.38,0.51,0.42
1/9/2020,NaN,NaN,0.52,0.54,0.53
1/10/2020,0.54,NaN,0.61,0.76,0.66
1/11/2020,0.32,NaN,0.36,0.42,0.38
1/12/2020,0.32,NaN,0.51,0.35,0.46
1/13/2020,0.31,NaN,0.45,0.37,0.43
1/14/2020,0.3,NaN,0.37,0.5,0.42
1/15/2020,0.39,NaN,0.33,1.09,0.58
1/16/2020,0.36,NaN,1.2,1.96,1.45
1/17/2020,0.57,NaN,0.94,1.08,0.98
1/18/2020,0.42,NaN,0.35,0.63,0.44
1/19/2020,0.41,NaN,0.74,0.94,0.81
1/20/2020,0.55,NaN,0.85,1.32,1
1/21/2020,0.95,NaN,1.36,1.66,1.46
1/22/2020,0.81,NaN,0.82,1.18,0.94
1/23/2020,0.68,NaN,0.7,0.63,0.68
1/24/2020,0.65,NaN,0.72,0.75,0.73
1/25/2020,0.57,NaN,0.68,0.85,0.74
1/26/2020,0.61,NaN,0.6,0.68,0.63
1/27/2020,0.78,NaN,0.93,0.99,0.95
1/28/2020,0.4,NaN,0.43,0.31,0.39
1/29/2020,0.32,NaN,0.52,0.5,0.52
1/30/2020,0.4,NaN,0.55,0.74,0.61
1/31/2020,0.48,NaN,0.55,0.49,0.53
2/1/2020,0.54,NaN,0.55,0.5,0.53
2/2/2020,0.42,NaN,0.58,0.53,0.56
2/3/2020,0.33,NaN,0.53,0.98,0.68
2/4/2020,0.4,NaN,0.64,1.2,0.82
2/5/2020,0.25,NaN,0.23,0.7,0.39
2/6/2020,0.52,NaN,0.62,0.56,0.6
2/7/2020,0.7,NaN,0.75,0.76,0.75
2/8/2020,0.4,NaN,0.57,0.59,0.58
2/9/2020,0.35,NaN,0.51,0.85,0.62
2/10/2020,0.85,NaN,1.23,1.68,1.38
2/11/2020,0.59,NaN,0.94,1.41,1.09
2/12/2020,0.56,NaN,0.57,0.8,0.65
2/13/2020,0.25,NaN,0.52,0.73,0.59
2/14/2020,0.22,NaN,0.6,0.71,0.64
2/15/2020,0.54,NaN,0.62,0.8,0.68
2/16/2020,0.61,NaN,0.78,0.57,0.71
2/17/2020,0.78,NaN,0.91,0.78,0.87
2/18/2020,0.67,NaN,0.86,0.88,0.86
2/19/2020,0.53,NaN,0.96,1.12,1.01
2/20/2020,0.1,NaN,0.63,1.07,0.77
2/21/2020,0.77,NaN,1.05,1.91,1.33
2/22/2020,1.41,NaN,1.63,2.04,1.77
2/23/2020,0.82,NaN,0.81,1.27,0.96
2/24/2020,0.66,NaN,0.53,0.58,0.55
2/25/2020,0.36,NaN,0.21,0.4,0.27
2/26/2020,0.19,NaN,0.25,0.25,0.25
2/27/2020,0.32,NaN,0.34,0.32,0.34
2/28/2020,0.24,NaN,0.27,0.4,0.32
2/29/2020,0.4,NaN,0.43,0.78,0.55
3/1/2020,0.68,NaN,0.81,0.89,0.84
3/2/2020,0.58,NaN,0.61,0.91,0.71
3/3/2020,0.58,NaN,0.47,1.37,0.77
3/4/2020,0.5,NaN,0.39,1.22,0.66
3/5/2020,0.45,NaN,0.6,0.6,0.6
3/6/2020,0.3,NaN,0.59,0.79,0.66
3/7/2020,0.51,NaN,0.96,1.43,1.12
3/8/2020,0.99,NaN,1.34,2.25,1.64
3/9/2020,0.61,NaN,0.68,1.05,0.8
3/10/2020,0.83,NaN,1.01,1.62,1.21
3/11/2020,1.44,NaN,1.65,2.23,1.84
3/12/2020,1.59,NaN,1.51,2.49,1.84
3/13/2020,1.07,NaN,1.48,1.93,1.63
3/14/2020,0.52,NaN,0.76,0.99,0.84
3/15/2020,0.44,NaN,0.86,1.13,0.95
3/16/2020,0.33,NaN,0.53,0.66,0.57
3/17/2020,0.37,NaN,0.64,1.47,0.91
3/18/2020,0.71,NaN,1.05,1.71,1.27
