date	suomi_pw	aero_pw
2019-01-01	   NaN	   NaN
2019-01-02	   NaN	 6.451
2019-01-03	   NaN	 3.235
2019-01-04	   NaN	   NaN
2019-01-05	   NaN	 3.892
2019-01-06	   NaN	   NaN
2019-01-07	   NaN	 5.705
2019-01-08	   NaN	 6.101
2019-01-09	   NaN	 9.063
2019-01-10	   NaN	10.498
2019-01-11	   NaN	 6.671
2019-01-12	   NaN	 5.862
2019-01-13	   NaN	   NaN
2019-01-14	   NaN	   NaN
2019-01-15	   NaN	   NaN
2019-01-16	   NaN	 6.808
2019-01-17	   NaN	 5.623
2019-01-18	   NaN	 5.138
2019-01-19	   NaN	 4.193
2019-01-20	   NaN	 4.816
2019-01-21	   NaN	 4.808
2019-01-22	   NaN	   NaN
2019-01-23	   NaN	 3.718
2019-01-24	   NaN	 3.803
2019-01-25	   NaN	 2.901
2019-01-26	   NaN	 3.497
2019-01-27	   NaN	 4.791
2019-01-28	   NaN	 4.671
2019-01-29	   NaN	   NaN
2019-01-30	   NaN	 2.803
2019-01-31	   NaN	 4.710
2019-02-01	   NaN	 8.000
2019-02-02	   NaN	 8.236
2019-02-03	   NaN	 8.630
2019-02-04	   NaN	   NaN
2019-02-05	   NaN	   NaN
2019-02-06	   NaN	 5.179
2019-02-07	   NaN	 1.504
2019-02-08	   NaN	 1.940
2019-02-09	   NaN	   NaN
2019-02-10	   NaN	   NaN
2019-02-11	   NaN	 2.892
2019-02-12	   NaN	 1.829
2019-02-13	   NaN	   NaN
2019-02-14	   NaN	   NaN
2019-02-15	   NaN	   NaN
2019-02-16	   NaN	 4.268
2019-02-17	   NaN	 4.008
2019-02-18	   NaN	 3.340
2019-02-19	   NaN	   NaN
2019-02-20	   NaN	 3.370
2019-02-21	   NaN	   NaN
2019-02-22	   NaN	 5.908
2019-02-23	   NaN	   NaN
2019-02-24	   NaN	   NaN
2019-02-25	   NaN	   NaN
2019-02-26	   NaN	   NaN
2019-02-27	   NaN	   NaN
2019-02-28	   NaN	   NaN
2019-03-01	   NaN	   NaN
2019-03-02	   NaN	   NaN
2019-03-03	   NaN	   NaN
2019-03-04	   NaN	   NaN
2019-03-05	   NaN	   NaN
2019-03-06	   NaN	   NaN
2019-03-07	   NaN	   NaN
2019-03-08	   NaN	   NaN
2019-03-09	   NaN	   NaN
2019-03-10	   NaN	   NaN
2019-03-11	   NaN	   NaN
2019-03-12	   NaN	   NaN
2019-03-13	   NaN	   NaN
