date	temp	model	suominet	aeronet
2019-01-23	   NaN	   NaN	   NaN	 3.720
2019-01-24	   NaN	   NaN	   NaN	 3.800
2019-01-25	   NaN	   NaN	   NaN	 2.900
2019-01-26	   NaN	   NaN	   NaN	 3.500
2019-01-27	   NaN	   NaN	   NaN	 4.790
2019-01-28	   NaN	   NaN	   NaN	 4.670
2019-01-30	   NaN	   NaN	   NaN	 2.800
2019-01-31	   NaN	   NaN	   NaN	 4.710
2019-02-01	   NaN	   NaN	   NaN	 8.000
2019-02-02	   NaN	   NaN	   NaN	 8.240
2019-02-04	   NaN	   NaN	   NaN	   NaN
2019-02-05	-31.200	 6.740	   NaN	   NaN
2019-02-07	   NaN	   NaN	   NaN	 1.500
2019-02-08	-46.800	 3.440	   NaN	 1.940
2019-02-09	-34.900	 5.740	   NaN	   NaN
2019-02-11	-44.900	 3.730	   NaN	 2.890
2019-02-12	   NaN	   NaN	   NaN	 1.830
2019-02-15	-23.400	 9.430	   NaN	   NaN
2019-02-16	-40.300	 4.550	   NaN	 4.270
2019-02-17	-43.300	 4.000	   NaN	 4.010
2019-02-18	-43.300	 4.000	   NaN	 3.340
2019-02-19	-38.400	 4.940	   NaN	   NaN
2019-02-20	-45.700	 3.610	   NaN	 3.370
2019-02-22	-34.200	 5.920	   NaN	 5.910
2019-02-23	-45.200	 3.680	   NaN	   NaN
2019-02-24	-41.900	 4.250	   NaN	   NaN
2019-02-25	-40.900	 4.440	   NaN	   NaN
2019-02-26	-38.800	 4.860	   NaN	   NaN
2019-02-27	-27.900	 7.770	   NaN	   NaN
2019-02-28	-34.400	 5.870	   NaN	   NaN
2019-03-02	-23.300	 9.470	   NaN	   NaN
2019-03-04	-31.300	 6.710	   NaN	   NaN
2019-03-05	-33.700	 6.050	   NaN	   NaN
2019-03-06	-27.800	 7.800	   NaN	   NaN
2019-03-09	-36.300	 5.410	   NaN	   NaN
2019-03-10	-11.200	15.950	   NaN	   NaN
2019-03-13	-37.900	 5.050	   NaN	   NaN
2019-03-14	-41.900	 4.250	   NaN	   NaN
2019-03-15	-37.200	 5.200	   NaN	   NaN
2019-03-16	-29.400	 7.280	   NaN	   NaN
2019-03-17	-35.700	 5.550	   NaN	   NaN
2019-03-18	-30.600	 6.910	   NaN	 7.020
2019-03-20	-30.500	 6.940	   NaN	 9.480
2019-03-22	-32.600	 6.340	   NaN	 4.770
2019-03-23	-22.100	 9.970	   NaN	 6.000
2019-03-24	   NaN	   NaN	   NaN	   NaN
2019-03-25	-36.100	 5.450	   NaN	 3.430
2019-03-26	-23.800	 9.270	   NaN	   NaN
2019-03-27	-15.100	13.480	   NaN	   NaN
2019-03-28	-26.500	 8.250	   NaN	 4.630
2019-03-29	-38.100	 5.000	   NaN	 2.750
2019-03-30	-37.800	 5.070	   NaN	 6.400
2019-04-01	-36.400	 5.380	   NaN	 5.500
2019-04-03	-23.300	 9.470	   NaN	 6.720
2019-04-04	-27.100	 8.040	   NaN	   NaN
2019-04-05	-20.700	10.590	   NaN	   NaN
2019-04-06	-31.100	 6.770	   NaN	 8.290
2019-04-07	-22.600	 9.760	   NaN	 7.060
2019-04-08	-23.900	 9.230	   NaN	 5.740
2019-04-09	-29.200	 7.340	   NaN	   NaN
2019-04-10	-30.100	 7.060	   NaN	   NaN
2019-04-14	-31.700	 6.590	   NaN	   NaN
2019-04-15	-15.500	13.250	   NaN	   NaN
2019-04-16	-28.200	 7.670	   NaN	   NaN
2019-04-18	-28.600	 7.540	   NaN	   NaN
2019-04-19	-27.500	 7.900	   NaN	   NaN
2019-04-20	-18.800	11.500	   NaN	   NaN
2019-04-21	-24.900	 8.840	   NaN	   NaN
2019-04-23	-24.700	 8.920	   NaN	   NaN
2019-04-24	-22.200	 9.930	   NaN	   NaN
2019-04-25	-24.800	 8.880	   NaN	 9.160
2019-04-26	-14.700	13.720	   NaN	12.210
2019-04-27	-21.000	10.460	   NaN	 6.820
2019-04-28	-21.400	10.280	   NaN	 5.780
2019-04-29	-22.200	 9.930	   NaN	   NaN
2019-04-30	-22.300	 9.890	   NaN	 8.160
2019-05-01	-24.400	 9.030	   NaN	 6.290
2019-05-02	-25.900	 8.470	   NaN	 6.480
2019-05-03	-25.700	 8.540	   NaN	 6.370
2019-05-04	-28.800	 7.470	   NaN	 6.530
2019-05-05	-25.400	 8.650	   NaN	   NaN
2019-05-06	-5.700	20.220	   NaN	   NaN
2019-05-08	-21.900	10.060	   NaN	   NaN
2019-05-09	-17.500	12.160	   NaN	   NaN
2019-05-11	-8.800	17.690	   NaN	   NaN
2019-05-12	-20.100	10.870	   NaN	   NaN
2019-05-13	-21.300	10.320	   NaN	   NaN
2019-05-14	-17.350	12.240	   NaN	   NaN
2019-05-15	-12.400	15.150	   NaN	   NaN
2019-05-18	-18.800	11.500	   NaN	   NaN
2019-05-20	-7.350	18.830	   NaN	   NaN
2019-05-21	-16.600	12.640	   NaN	   NaN
2019-05-22	-25.700	 8.540	   NaN	   NaN
2019-05-23	-23.350	 9.450	   NaN	   NaN
2019-05-24	-26.500	 8.250	   NaN	   NaN
2019-05-25	-24.200	 9.110	   NaN	   NaN
2019-05-26	-15.650	13.170	   NaN	   NaN
2019-05-27	-22.500	 9.800	   NaN	   NaN
2019-05-28	-28.250	 7.650	   NaN	   NaN
2019-05-29	-20.650	10.620	   NaN	   NaN
2019-05-31	-9.850	16.910	   NaN	   NaN
2019-06-01	-17.370	12.230	   NaN	   NaN
2019-06-02	-15.170	13.450	   NaN	   NaN
2019-06-03	-12.130	15.320	   NaN	   NaN
2019-06-06	-13.500	14.450	   NaN	   NaN
2019-06-08	-18.970	11.410	   NaN	   NaN
2019-06-09	-16.450	12.720	   NaN	   NaN
2019-06-11	-21.770	10.120	   NaN	   NaN
2019-06-14	-17.300	12.260	   NaN	   NaN
2019-06-15	-15.750	13.110	   NaN	   NaN
2019-06-16	-18.970	11.410	   NaN	   NaN
2019-06-17	-11.870	15.500	   NaN	   NaN
2019-06-18	-20.630	10.620	   NaN	   NaN
2019-06-19	-18.330	11.730	   NaN	   NaN
2019-06-20	-18.330	11.730	   NaN	   NaN
2019-06-21	-19.000	11.400	   NaN	   NaN
2019-06-22	-14.350	13.930	   NaN	   NaN
2019-06-23	-12.200	15.280	   NaN	   NaN
2019-06-24	-19.430	11.190	   NaN	   NaN
2019-06-25	-11.250	15.920	   NaN	   NaN
2019-06-26	-17.730	12.040	   NaN	   NaN
2019-06-28	-15.800	13.080	   NaN	   NaN
2019-06-29	-12.630	15.000	   NaN	   NaN
2019-06-30	-12.930	14.800	   NaN	   NaN
2019-07-02	-12.470	15.110	   NaN	   NaN
2019-07-03	-17.370	12.230	   NaN	   NaN
2019-07-04	-15.070	13.500	   NaN	   NaN
2019-07-05	-9.750	16.980	   NaN	   NaN
2019-07-07	-7.430	18.760	   NaN	   NaN
2019-07-08	-17.270	12.280	   NaN	   NaN
2019-07-09	-12.800	14.890	   NaN	   NaN
2019-07-10	-16.000	12.970	   NaN	   NaN
2019-07-11	-9.830	16.920	   NaN	   NaN
2019-07-12	-17.200	12.320	   NaN	   NaN
2019-07-15	-10.900	16.160	   NaN	   NaN
2019-07-16	-11.400	15.820	   NaN	   NaN
2019-07-17	-9.470	17.190	   NaN	   NaN
2019-07-18	-13.030	14.740	   NaN	   NaN
2019-07-19	-13.100	14.700	   NaN	   NaN
2019-07-20	-11.730	15.590	   NaN	   NaN
2019-07-22	-7.070	19.060	   NaN	   NaN
2019-07-23	   NaN	   NaN	   NaN	   NaN
2019-07-24	-10.270	16.610	   NaN	   NaN
2019-07-25	-9.470	17.190	   NaN	   NaN
2019-07-27	-10.070	16.750	   NaN	   NaN
2019-07-29	-8.830	17.670	   NaN	   NaN
2019-07-30	-9.230	17.360	   NaN	   NaN
2019-07-31	-9.530	17.140	   NaN	   NaN
2019-08-01	-9.300	17.310	   NaN	   NaN
2019-08-02	-7.900	18.390	   NaN	   NaN
2019-08-03	-7.300	18.870	   NaN	   NaN
2019-08-04	-6.600	19.450	   NaN	   NaN
2019-08-05	-6.470	19.560	   NaN	   NaN
2019-08-09	-3.670	22.070	   NaN	   NaN
2019-08-10	-9.300	17.310	   NaN	   NaN
2019-08-12	-15.670	13.160	   NaN	   NaN
2019-08-13	-14.500	13.840	   NaN	   NaN
2019-08-14	-10.170	16.680	   NaN	   NaN
2019-08-15	-13.800	14.260	   NaN	   NaN
2019-08-16	-17.700	12.050	   NaN	   NaN
2019-08-18	-20.600	10.640	   NaN	   NaN
2019-08-19	-16.900	12.480	   NaN	   NaN
2019-08-20	-9.670	17.040	   NaN	   NaN
2019-08-21	-11.430	15.790	   NaN	   NaN
2019-08-22	-14.100	14.080	   NaN	   NaN
2019-08-23	-15.400	13.310	   NaN	   NaN
2019-08-24	-13.670	14.340	   NaN	   NaN
2019-08-25	-17.230	12.300	   NaN	   NaN
2019-08-26	-13.330	14.550	   NaN	   NaN
2019-08-27	-8.630	17.820	   NaN	   NaN
2019-08-28	-10.370	16.540	   NaN	   NaN
2019-08-29	-12.130	15.320	   NaN	   NaN
2019-08-30	-13.800	14.260	   NaN	   NaN
2019-09-01	-11.600	15.680	   NaN	   NaN
2019-09-02	-13.100	14.700	   NaN	   NaN
2019-09-03	-15.630	13.180	   NaN	   NaN
2019-09-04	-14.200	14.020	   NaN	   NaN
2019-09-05	-14.830	13.640	   NaN	   NaN
2019-09-06	-16.830	12.510	   NaN	   NaN
2019-09-07	-11.030	16.070	   NaN	   NaN
2019-09-09	-13.100	14.700	   NaN	   NaN
2019-09-10	-11.370	15.840	   NaN	   NaN
2019-09-11	-12.170	15.300	   NaN	   NaN
2019-09-12	-14.950	13.570	   NaN	   NaN
2019-09-13	-15.200	13.430	   NaN	   NaN
2019-09-14	-8.930	17.590	   NaN	   NaN
2019-09-16	-16.700	12.590	   NaN	   NaN
2019-09-17	-19.630	11.090	   NaN	   NaN
2019-09-18	-19.570	11.120	   NaN	   NaN
2019-09-19	-20.130	10.850	   NaN	   NaN
2019-09-20	-12.600	15.020	   NaN	   NaN
2019-09-21	-15.530	13.230	   NaN	   NaN
2019-09-22	-18.000	11.900	   NaN	   NaN
2019-09-23	-22.700	 9.720	   NaN	   NaN
2019-09-25	-20.500	10.680	   NaN	   NaN
2019-09-26	-19.400	11.200	   NaN	   NaN
2019-09-27	-15.750	13.110	16.950	   NaN
2019-09-28	-21.500	10.230	13.480	   NaN
2019-09-29	-22.030	10.000	 9.130	   NaN
2019-09-30	-21.670	10.160	 8.270	   NaN
2019-10-02	-21.600	10.190	11.050	   NaN
2019-10-05	-20.000	10.920	   NaN	   NaN
2019-10-06	-19.450	11.180	   NaN	   NaN
2019-10-07	-19.900	10.960	 9.590	   NaN
2019-10-09	-16.650	12.610	10.410	   NaN
2019-10-10	-19.700	11.060	   NaN	   NaN
2019-10-11	-47.100	 3.400	 1.810	   NaN
2019-10-13	-18.350	11.720	 8.280	   NaN
2019-10-14	-15.750	13.110	 9.620	   NaN
2019-10-15	-26.100	 8.390	   NaN	   NaN
2019-10-16	-26.350	 8.300	   NaN	   NaN
2019-10-17	-15.450	13.280	   NaN	   NaN
2019-10-18	-25.400	 8.650	 8.950	   NaN
2019-10-19	-26.150	 8.380	 7.070	   NaN
2019-10-20	-27.400	 7.940	 7.490	   NaN
2019-10-21	-36.300	 5.410	 5.790	   NaN
2019-10-22	-30.450	 6.960	   NaN	   NaN
2019-10-23	-27.500	 7.900	 7.410	   NaN
2019-10-24	-36.850	 5.280	 3.250	   NaN
2019-10-25	-38.850	 4.840	   NaN	   NaN
2019-10-26	-27.400	 7.940	   NaN	   NaN
2019-10-27	-25.300	 8.690	   NaN	   NaN
2019-10-28	-27.400	 7.940	   NaN	   NaN
2019-10-29	-38.600	 4.900	   NaN	   NaN
2019-10-30	   NaN	   NaN	 1.510	   NaN
2019-10-31	   NaN	   NaN	   NaN	   NaN
2019-11-01	-49.300	 3.090	   NaN	   NaN
2019-11-02	-32.550	 6.360	 2.960	   NaN
2019-11-03	-23.850	 9.250	 5.770	   NaN
2019-11-04	-24.750	 8.900	 5.680	   NaN
2019-11-05	-29.100	 7.380	   NaN	   NaN
2019-11-09	-22.250	 9.910	   NaN	   NaN
2019-11-10	-24.950	 8.820	12.740	   NaN
2019-11-11	-24.500	 8.990	 7.960	   NaN
2019-11-12	-37.650	 5.100	 4.660	   NaN
2019-11-13	-35.650	 5.560	 5.250	   NaN
2019-11-14	-32.000	 6.510	 4.230	   NaN
2019-11-15	-29.150	 7.360	 4.390	   NaN
2019-11-16	   NaN	   NaN	 7.400	   NaN
2019-11-17	-34.750	 5.780	 6.140	   NaN
2019-11-18	-27.950	 7.750	 5.490	   NaN
2019-11-19	-20.800	10.550	   NaN	   NaN
2019-11-22	-33.750	 6.040	 6.000	   NaN
2019-11-23	-30.300	 7.000	   NaN	   NaN
2019-11-24	-24.900	 8.840	   NaN	   NaN
2019-11-25	-35.100	 5.690	   NaN	   NaN
2019-11-26	-49.900	 3.010	   NaN	   NaN
2019-11-30	-37.750	 5.080	 5.050	   NaN
2019-12-01	-37.750	 5.080	   NaN	   NaN
2019-12-02	-38.350	 4.950	 3.550	   NaN
2019-12-03	-33.350	 6.140	 7.000	   NaN
2019-12-06	-33.500	 6.100	   NaN	   NaN
2019-12-07	-23.300	 9.470	   NaN	   NaN
2019-12-09	-30.750	 6.870	10.490	   NaN
2019-12-10	-35.450	 5.610	 3.720	   NaN
2019-12-11	-27.350	 7.950	 1.680	   NaN
2019-12-12	-30.450	 6.960	 5.000	   NaN
2019-12-13	-24.650	 8.930	10.280	   NaN
2019-12-14	-22.900	 9.630	 8.700	   NaN
2019-12-15	-32.600	 6.340	   NaN	   NaN
2019-12-16	-30.200	 7.030	 3.130	   NaN
2019-12-17	-48.200	 3.240	 2.080	   NaN
2019-12-18	-48.600	 3.180	 1.560	   NaN
2019-12-19	-43.050	 4.040	   NaN	   NaN
2019-12-20	-45.800	 3.590	 2.380	   NaN
2019-12-21	-38.600	 4.900	 2.600	   NaN
2019-12-22	-25.350	 8.670	 2.190	   NaN
2019-12-25	-31.050	 6.780	 6.740	   NaN
2019-12-26	-32.600	 6.340	 5.270	   NaN
2019-12-29	-48.800	 3.160	 4.310	   NaN
2019-12-30	-40.700	 4.470	 5.710	   NaN
2019-12-31	-40.250	 4.560	 5.670	   NaN
2020-01-01	-34.500	 5.840	 5.700	   NaN
2020-01-02	   NaN	   NaN	 8.700	   NaN
2020-01-03	-39.850	 4.640	 4.900	   NaN
2020-01-04	-33.950	 5.980	 5.200	   NaN
2020-01-05	-38.450	 4.930	 2.900	   NaN
2020-01-06	-49.600	 3.050	 3.300	   NaN
2020-01-07	-41.300	 4.360	 2.900	   NaN
2020-01-08	-45.450	 3.650	 1.300	   NaN
2020-01-10	-48.800	 3.160	 5.400	   NaN
2020-01-11	-48.700	 3.170	 3.200	   NaN
2020-01-12	-42.000	 4.230	 3.200	   NaN
2020-01-13	-39.300	 4.750	 3.100	   NaN
2020-01-14	-38.250	 4.970	 3.000	   NaN
2020-01-18	-42.700	 4.100	 4.200	   NaN
2020-01-19	-43.400	 3.980	 4.100	   NaN
2020-01-22	-32.700	 6.320	 8.100	   NaN
2020-01-23	-28.800	 7.470	 6.800	   NaN
2020-01-24	-32.250	 6.440	 6.500	   NaN
2020-01-25	-31.350	 6.690	 5.700	   NaN
2020-01-26	-29.450	 7.260	 6.100	   NaN
2020-01-28	-31.650	 6.610	 4.000	   NaN
2020-01-29	-30.950	 6.810	 3.200	   NaN
2020-01-30	-37.500	 5.140	 4.000	   NaN
2020-01-31	-42.100	 4.210	 4.800	   NaN
2020-02-01	-36.900	 5.270	 5.400	   NaN
2020-02-02	-37.500	 5.140	 4.200	   NaN
2020-02-03	-28.400	 7.600	 3.300	   NaN
2020-02-05	   NaN	   NaN	 2.500	   NaN
2020-02-06	-30.650	 6.900	 5.200	   NaN
2020-02-07	-25.400	 8.650	 7.000	   NaN
2020-02-08	-34.250	 5.910	 4.000	   NaN
2020-02-09	-33.750	 6.040	 3.500	   NaN
2020-02-12	-39.200	 4.770	 5.600	   NaN
2020-02-13	-41.700	 4.280	 2.500	   NaN
2020-02-14	-37.500	 5.140	 2.200	   NaN
2020-02-15	-31.550	 6.640	 5.400	   NaN
2020-02-16	-25.100	 8.760	 6.100	   NaN
2020-02-17	-25.300	 8.690	 7.800	   NaN
2020-02-18	-27.000	 8.070	 6.700	   NaN
2020-02-20	-34.300	 5.890	 1.000	   NaN
2020-02-24	-32.400	 6.400	 6.600	   NaN
2020-02-25	   NaN	   NaN	 3.600	   NaN
2020-02-26	-48.750	 3.160	 1.900	   NaN
2020-02-27	-38.100	 5.000	 3.200	   NaN
2020-02-29	-30.900	 6.820	 4.000	   NaN
2020-03-02	-35.500	 5.600	 5.800	   NaN
2020-03-03	-28.400	 7.600	 5.800	   NaN
2020-03-04	-29.550	 7.230	 5.000	   NaN
2020-03-05	-32.200	 6.450	 4.500	   NaN
2020-03-06	-25.850	 8.480	 3.000	   NaN
2020-03-07	-31.900	 6.540	 5.100	   NaN
2020-03-09	-26.450	 8.270	 6.100	   NaN
2020-03-13	-19.950	10.940	10.700	   NaN
2020-03-14	-28.200	 7.670	 5.200	   NaN
2020-03-16	-27.750	 7.820	 3.300	   NaN
2020-03-19	-32.350	 6.410	 5.800	   NaN
2020-03-21	-21.250	10.340	 6.000	   NaN
2020-03-22	-23.500	 9.390	 3.300	   NaN
2020-03-23	-26.850	 8.130	 6.500	   NaN
2020-03-24	-20.550	10.660	 4.900	   NaN
2020-03-25	-27.450	 7.920	 6.600	   NaN
