"date"		"model"		"temp"		"suominet"		"aeronet"
2020-01-01		5.83		-34.5		5.7		NA
2020-01-02		NA		NA		8.7		NA
2020-01-03		4.81		-39.85		4.9		NA
2020-01-04		5.95		-33.95		5.2		NA
2020-01-05		5.06		-38.45		2.9		NA
2020-01-06		3.39		-49.6		3.3		NA
2020-01-07		4.57		-41.3		2.9		NA
2020-01-08		3.93		-45.45		1.3		NA
2020-01-10		3.49		-48.8		5.4		NA
2020-01-11		3.5		-48.7		3.2		NA
2020-01-12		4.45		-42		3.2		NA
2020-01-13		4.91		-39.3		3.1		NA
2020-01-14		5.1		-38.25		3		NA
2020-01-18		4.34		-42.7		4.2		NA
2020-01-19		4.23		-43.4		4.1		NA
2020-01-22		6.23		-32.7		8.1		NA
2020-01-23		7.16		-28.8		6.8		NA
2020-01-24		6.33		-32.25		6.5		NA
2020-01-25		6.54		-31.35		5.7		NA
2020-01-26		7		-29.45		6.1		NA
2020-01-28		6.46		-31.65		4		NA
2020-01-29		6.63		-30.95		3.2		NA
2020-01-30		5.24		-37.5		4		NA
2020-01-31		4.44		-42.1		4.8		NA
2020-02-01		5.35		-36.9		5.4		NA
2020-02-02		5.24		-37.5		4.2		NA
2020-02-03		7.27		-28.4		3.3		NA
2020-02-05		NA		NA		2.5		NA
2020-02-06		6.7		-30.65		5.2		NA
2020-02-07		8.1		-25.4		7		NA
2020-02-08		5.89		-34.25		4		NA
2020-02-09		5.99		-33.75		3.5		NA
2020-02-12		4.93		-39.2		5.6		NA
2020-02-13		4.5		-41.7		2.5		NA
2020-02-14		5.24		-37.5		2.2		NA
2020-02-15		6.49		-31.55		5.4		NA
2020-02-16		8.18		-25.1		6.1		NA
2020-02-17		8.13		-25.3		7.8		NA
2020-02-18		7.64		-27		6.7		NA
2020-02-20		5.88		-34.3		1		NA
2020-02-24		6.29		-32.4		6.6		NA
2020-02-25		NA		NA		3.6		NA
2020-02-26		3.49		-48.75		1.9		NA
2020-02-27		5.13		-38.1		3.2		NA
