date	temp	model	suominet	aeronet
2020-01-01	-34.500	 5.830	 5.700	   NaN
2020-01-02	   NaN	   NaN	 8.700	   NaN
2020-01-03	-39.850	 4.810	 4.900	   NaN
2020-01-04	-33.950	 5.950	 5.200	   NaN
2020-01-05	-38.450	 5.060	 2.900	   NaN
2020-01-06	-49.600	 3.390	 3.300	   NaN
2020-01-07	-41.300	 4.570	 2.900	   NaN
2020-01-08	-45.450	 3.930	 1.300	   NaN
2020-01-10	-48.800	 3.490	 5.400	   NaN
2020-01-11	-48.700	 3.500	 3.200	   NaN
2020-01-12	-42.000	 4.450	 3.200	   NaN
2020-01-13	-39.300	 4.910	 3.100	   NaN
2020-01-14	-38.250	 5.100	 3.000	   NaN
2020-01-18	-42.700	 4.340	 4.200	   NaN
2020-01-19	-43.400	 4.230	 4.100	   NaN
2020-01-22	-32.700	 6.230	 8.100	   NaN
2020-01-23	-28.800	 7.160	 6.800	   NaN
2020-01-24	-32.250	 6.330	 6.500	   NaN
2020-01-25	-31.350	 6.540	 5.700	   NaN
2020-01-26	-29.450	 7.000	 6.100	   NaN
2020-01-28	-31.650	 6.460	 4.000	   NaN
2020-01-29	-30.950	 6.630	 3.200	   NaN
2020-01-30	-37.500	 5.240	 4.000	   NaN
2020-01-31	-42.100	 4.440	 4.800	   NaN
2020-02-01	-36.900	 5.350	 5.400	   NaN
2020-02-02	-37.500	 5.240	 4.200	   NaN
2020-02-03	-28.400	 7.270	 3.300	   NaN
2020-02-05	   NaN	   NaN	 2.500	   NaN
2020-02-06	-30.650	 6.700	 5.200	   NaN
2020-02-07	-25.400	 8.100	 7.000	   NaN
2020-02-08	-34.250	 5.890	 4.000	   NaN
2020-02-09	-33.750	 5.990	 3.500	   NaN
2020-02-12	-39.200	 4.930	 5.600	   NaN
2020-02-13	-41.700	 4.500	 2.500	   NaN
2020-02-14	-37.500	 5.240	 2.200	   NaN
2020-02-15	-31.550	 6.490	 5.400	   NaN
2020-02-16	-25.100	 8.180	 6.100	   NaN
2020-02-17	-25.300	 8.130	 7.800	   NaN
2020-02-18	-27.000	 7.640	 6.700	   NaN
2020-02-20	-34.300	 5.880	 1.000	   NaN
2020-02-24	-32.400	 6.290	 6.600	   NaN
2020-02-25	   NaN	   NaN	 3.600	   NaN
2020-02-26	-48.750	 3.490	 1.900	   NaN
2020-02-27	-38.100	 5.130	 3.200	   NaN
2020-02-29	-30.900	 6.640	 4.000	   NaN
2020-03-02	-35.500	 5.630	 5.800	   NaN
2020-03-03	-28.400	 7.270	 5.800	   NaN
2020-03-04	-29.550	 6.970	 5.000	   NaN
2020-03-05	-32.200	 6.340	 4.500	   NaN
2020-03-06	-25.850	 7.970	 3.000	   NaN
2020-03-07	-31.900	 6.410	 5.100	   NaN
2020-03-09	-26.450	 7.800	 6.100	   NaN
2020-03-13	-19.950	 9.850	10.700	   NaN
2020-03-14	-28.200	 7.320	 5.200	   NaN
2020-03-16	-27.750	 7.440	 3.300	   NaN
2020-03-19	-32.350	 6.300	 5.800	   NaN
2020-03-21	-21.250	 9.400	 6.000	   NaN
2020-03-22	-23.500	 8.670	 3.300	   NaN
2020-03-23	-26.850	 7.680	 6.500	   NaN
2020-03-24	-20.550	 9.640	 4.900	   NaN
2020-03-25	-27.450	 7.520	 6.600	   NaN
2020-03-27	-31.400	 6.520	 9.300	   NaN
2020-03-28	-33.550	 6.040	 4.900	   NaN
2020-04-02	-25.600	 8.040	 4.400	   NaN
2020-04-04	-27.300	 7.560	 5.100	   NaN
2020-04-05	-23.050	 8.810	 4.000	   NaN
2020-04-07	-25.250	 8.140	 6.800	   NaN
2020-04-08	-20.600	 9.620	 8.900	   NaN
2020-04-09	-17.400	10.800	 6.600	   NaN
2020-04-10	-26.650	 7.740	 2.600	   NaN
2020-04-11	-26.950	 7.660	 4.100	   NaN
2020-04-14	-34.750	 5.780	 4.100	   NaN
2020-04-15	-35.350	 5.660	 2.800	   NaN
2020-04-16	-20.250	 9.750	 4.300	   NaN
2020-04-17	-23.100	 8.790	 3.300	   NaN
2020-04-18	-22.400	 9.020	 3.900	   NaN
2020-04-19	-22.950	 8.840	 7.100	   NaN
2020-04-20	-19.000	10.190	 8.000	   NaN
2020-04-21	-19.750	 9.920	 6.600	   NaN
2020-04-22	-22.300	 9.050	 8.800	   NaN
2020-04-24	-16.200	11.270	 9.000	   NaN
2020-04-25	-16.650	11.090	 7.200	   NaN
2020-04-26	-13.200	12.560	 6.200	   NaN
2020-04-29	-18.600	10.340	 9.900	   NaN
2020-05-01	-14.450	12.010	 9.700	   NaN
2020-05-03	-17.500	10.760	 8.000	   NaN
2020-05-04	-18.350	10.440	 6.500	   NaN
2020-05-05	-18.100	10.530	 7.500	   NaN
2020-05-06	-10.150	14.020	 7.100	   NaN
2020-05-07	-17.750	10.660	 4.500	   NaN
2020-05-12	-12.850	12.720	 9.100	   NaN
2020-05-15	-5.600	16.510	 8.700	   NaN
2020-05-16	-15.850	11.420	 8.800	   NaN
2020-05-18	-13.800	12.290	 8.000	   NaN
2020-05-20	-22.900	 8.860	 4.300	   NaN
2020-05-21	-22.400	 9.020	 3.600	   NaN
2020-05-22	-15.050	11.750	 5.000	   NaN
2020-05-24	-15.200	11.690	 7.500	   NaN
2020-05-25	-13.850	12.270	 8.900	   NaN
2020-05-26	-15.100	11.730	10.100	   NaN
2020-05-27	-11.200	13.500	11.100	   NaN
2020-05-28	-17.870	10.620	14.300	   NaN
2020-05-31	-17.430	10.790	16.100	   NaN
2020-06-01	-15.700	11.480	14.400	   NaN
2020-06-04	-15.570	11.530	15.700	   NaN
2020-06-05	-11.530	13.340	13.700	   NaN
2020-06-06	-11.270	13.470	17.000	   NaN
2020-06-07	-13.000	12.650	 4.600	   NaN
2020-06-08	-23.600	 8.640	 8.600	   NaN
2020-06-09	-22.700	 8.920	 6.300	   NaN
2020-06-10	-22.200	 9.080	 5.500	   NaN
2020-06-11	-11.170	13.510	 6.800	   NaN
2020-06-14	-14.900	11.820	15.000	   NaN
2020-06-17	-7.450	15.450	10.600	   NaN
2020-06-18	-12.900	12.700	 6.600	   NaN
2020-06-19	-15.750	11.460	 5.900	   NaN
2020-06-20	-14.100	12.160	 7.100	   NaN
2020-06-21	-18.400	10.420	 8.800	   NaN
2020-06-22	-8.950	14.640	11.100	   NaN
2020-06-23	-13.170	12.580	14.000	   NaN
2020-06-25	-13.000	12.650	14.000	   NaN
2020-06-29	-16.970	10.970	10.900	   NaN
2020-06-30	-10.550	13.820	10.300	   NaN
2020-07-01	-18.370	10.430	11.300	   NaN
2020-07-03	-1.900	18.870	19.800	   NaN
2020-07-04	-9.630	14.280	19.000	   NaN
2020-07-06	-13.430	12.460	16.500	   NaN
2020-07-09	-13.370	12.490	16.700	   NaN
2020-07-10	-15.930	11.380	16.900	   NaN
2020-07-14	-10.270	13.960	15.900	   NaN
2020-07-16	-10.030	14.080	22.600	19.100
2020-07-29	-13.870	12.260	   NaN	15.800
2020-07-30	-19.330	10.070	   NaN	10.400
2020-07-31	-10.530	13.830	   NaN	16.300
2020-08-01	   NaN	   NaN	   NaN	19.000
2020-08-02	-11.700	13.260	   NaN	20.100
2020-08-03	-13.330	12.500	   NaN	20.100
2020-08-05	   NaN	   NaN	   NaN	17.900
2020-08-06	-12.230	13.010	   NaN	18.400
2020-08-10	-16.000	11.360	   NaN	13.300
2020-08-11	-18.300	10.450	   NaN	11.300
2020-08-13	-13.370	12.490	   NaN	19.200
2020-08-14	-14.470	12.000	   NaN	16.400
2020-08-16	-15.630	11.510	   NaN	16.400
2020-08-17	-9.900	14.150	   NaN	15.900
2020-08-18	-14.130	12.150	   NaN	16.600
2020-08-19	-9.870	14.160	   NaN	16.800
2020-08-21	-12.400	12.930	   NaN	14.400
2020-08-22	-9.900	14.150	   NaN	13.800
2020-08-23	-10.470	13.860	   NaN	16.300
2020-08-24	-10.100	14.040	   NaN	16.700
2020-08-25	-7.000	15.700	   NaN	16.500
2020-08-26	-10.600	13.790	   NaN	18.800
2020-08-28	-14.770	11.870	   NaN	19.000
2020-09-02	-19.930	 9.860	11.500	10.800
2020-09-03	-15.630	11.510	10.300	 9.200
2020-09-04	-14.200	12.120	12.000	13.500
2020-09-05	-14.830	11.840	14.700	15.800
2020-09-06	-12.570	12.850	14.600	12.600
2020-09-07	-13.400	12.470	11.500	 9.400
2020-09-11	-12.430	12.910	11.400	 9.700
2020-09-12	-14.730	11.890	 9.500	 6.900
2020-09-13	-18.170	10.500	 7.900	 7.900
2020-09-14	-19.530	10.000	10.000	 9.700
2020-09-15	-13.500	12.430	11.300	10.900
2020-09-16	-10.200	13.990	10.400	 9.700
2020-09-17	-19.630	 9.960	10.300	 9.500
2020-09-18	-19.570	 9.990	 8.800	 9.400
2020-09-19	-20.130	 9.790	 9.600	10.500
2020-09-20	-12.600	12.840	10.300	11.100
2020-09-21	-19.000	10.190	11.000	11.100
2020-09-22	-21.170	 9.430	13.000	12.200
2020-09-23	-22.700	 8.920	15.600	13.700
2020-09-24	-12.650	12.810	13.300	10.300
2020-09-25	-20.200	 9.760	10.700	 8.800
2020-09-26	-21.500	 9.320	10.700	 8.300
2020-09-27	-19.930	 9.860	 9.600	 7.300
2020-09-28	-19.400	10.050	 8.300	 7.100
2020-09-29	-22.030	 9.140	 7.300	 5.900
2020-09-30	-21.670	 9.260	 4.800	 3.800
2020-10-01	-19.830	 9.890	 5.100	 7.500
2020-10-02	-22.570	 8.970	 6.300	 5.700
2020-10-03	-21.030	 9.470	 5.900	 4.900
2020-10-04	-15.000	11.770	 6.200	 7.300
