Date,Condition,Time,KONM_Time,KONM_RH,KONM_Temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (Sky),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),AMES 3 (Sky),1610 TE (Ground),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),AMES 3 (Ground),comments
11/29/2020,clear sky,11:35,11:35,28.0,10.11,3.71,3.94,3.88,5.08,NaN,-34.6,-12.6,-Inf,-13.5,15.5,17.6,16.3,-Inf,16.9,
11/30/2020,clear sky,11:45,11:55,28.0,5.89,4.01,3.41,4.56,4.81,NaN,-35.6,-13.5,-Inf,-14.6,13.2,11.9,12.4,-Inf,13.3,
12/1/2020,clear sky,14:45,14:55,19.0,12.78,4.18,2.91,4.15,3.27,NaN,-38.7,-12.6,-Inf,-13.4,13.4,11.5,13.6,-Inf,14.2,
12/2/2020,overcast,9:46,09:55,72.0,0.11,6.26,4.23,0.07,6.88,-6.6,-8.2,-6.7,-Inf,-9.3,4,3.1,0.9,-Inf,-0.2,Snow
12/3/2020,clear sky,10:27,08:15,71.0,-5.5,4.45,3.73,5.87,4.36,NaN,NaN,-44,-Inf,-47.3,7.4,6,7.6,-Inf,6,
12/4/2020,clear sky,10:15,NaT,NaN,NaN,4.3,5.46,3.54,4.73,NaN,NaN,-38.8,-Inf,-44.4,8.8,6.5,9.9,-Inf,6.7,
12/5/2020,clear sky,10:14,NaT,NaN,NaN,5.79,4.79,5.74,7.46,NaN,NaN,-39.5,-Inf,-40.2,10.8,9.2,10,-Inf,10.7,
12/6/2020,clear sky,10:34,NaT,NaN,NaN,4.01,3.0,5.52,4.02,NaN,NaN,-44.2,-Inf,-39.8,12.4,11,10.9,-Inf,13.6,
12/7/2020,clear sky,10:00,10:15,25.0,6.0,3.94,3.43,4.07,3.94,NaN,NaN,-41,-Inf,-43.6,8.5,7.3,8.9,-Inf,7.1,
12/8/2020,clear sky,9:50,09:35,29.0,4.61,3.52,2.87,3.53,2.88,naN,NaN,-39.5,-Inf,-40.7,8.7,8.2,11,-Inf,8.7,
