Time, Temperature
16:03:00,26.14
16:03:10,26.22
16:03:20,26.26
16:03:30,26.29
16:03:40,26.33
16:03:50,26.36
16:04:00,26.39
16:04:10,26.43
16:04:20,26.4
16:04:30,26.17
16:04:40,25.77
16:04:50,25.29
16:05:00,24.71
16:05:10,24.12
16:05:20,23.53
16:05:30,22.93
16:05:40,22.36
16:05:50,21.82
16:06:00,21.33
16:06:10,20.83
16:06:20,20.38
16:06:30,19.94
16:06:40,19.53
16:06:50,19.13
16:07:00,18.76
16:07:10,18.42
16:07:20,18.09
16:07:30,17.77
16:07:40,17.46
16:07:50,17.17
16:08:00,16.9
16:08:10,16.64
16:08:20,16.4
16:08:30,16.16
16:08:40,15.93
16:08:50,15.72
16:09:00,15.51
16:09:10,15.31
16:09:20,15.11
16:09:30,14.95
16:09:40,14.76
16:09:50,14.59
16:10:00,14.43
16:10:10,14.28
16:10:20,14.13
16:10:30,13.99
16:10:40,13.85
16:10:50,13.75
16:11:00,14.13
16:11:10,14.92
16:11:20,15.72
16:11:30,16.37
16:11:40,16.9
16:11:50,17.44
16:12:00,17.97
16:12:10,18.48
16:12:20,18.98
16:12:30,19.37
16:12:40,19.72
16:12:50,20.04
16:13:00,20.33
16:13:10,20.62
16:13:20,20.87
16:13:30,21.09
16:13:40,21.32
16:13:50,21.54
16:14:00,21.78
16:14:10,22.02
16:14:20,22.25
16:14:30,22.45
16:14:40,22.63
16:14:50,22.81
16:15:00,22.98
16:15:10,23.14
16:15:20,23.3
16:15:30,23.45
16:15:40,23.61
16:15:50,23.72
16:16:00,23.84
16:16:10,23.96
16:16:20,24.04
16:16:30,24.15
16:16:40,24.25
16:16:50,24.33
16:17:00,24.43
16:17:10,24.53
16:17:20,24.61
16:17:30,24.69
16:17:40,24.76
16:17:50,24.79
16:18:00,24.85
16:18:10,24.91
16:18:20,24.94
16:18:30,25.0
16:18:40,25.06
16:18:50,25.12
16:19:00,25.16
16:19:10,25.19
16:19:20,25.24
16:19:30,25.3
