"","date","predicted","truth","bool"
"1","2019-02-05",1,1,TRUE
"2","2019-02-08",1,1,TRUE
"3","2019-02-10",2,2,TRUE
"4","2019-02-11",1,1,TRUE
"5","2019-02-19",1,1,TRUE
"6","2019-02-21",1,2,FALSE
"7","2019-03-02",1,1,TRUE
"8","2019-03-07",1,2,FALSE
"9","2019-03-08",1,2,FALSE
"10","2019-03-11",2,2,TRUE
"11","2019-03-14",1,1,TRUE
"12","2019-03-16",1,1,TRUE
"13","2019-03-23",1,1,TRUE
"14","2019-03-27",2,1,FALSE
"15","2019-04-06",1,1,TRUE
"16","2019-04-16",1,1,TRUE
"17","2019-04-24",1,1,TRUE
"18","2019-04-27",1,1,TRUE
"19","2019-05-04",1,1,TRUE
"20","2019-05-09",1,1,TRUE
"21","2019-05-12",1,1,TRUE
"22","2019-05-13",1,1,TRUE
"23","2019-05-25",1,1,TRUE
"24","2019-05-26",2,1,FALSE
"25","2019-05-27",1,1,TRUE
"26","2019-06-19",1,1,TRUE
"27","2019-06-23",2,1,FALSE
"28","2019-06-25",2,1,FALSE
"29","2019-06-26",1,1,TRUE
"30","2019-07-01",2,2,TRUE
"31","2019-07-07",2,1,FALSE
"32","2019-07-08",1,1,TRUE
"33","2019-07-15",2,1,FALSE
