"","date","predicted","truth","bool"
"1","2019-02-10",2,2,TRUE
"2","2019-02-14",2,2,TRUE
"3","2019-02-18",1,1,TRUE
"4","2019-02-19",1,1,TRUE
"5","2019-02-23",1,1,TRUE
"6","2019-02-28",1,1,TRUE
"7","2019-03-02",1,1,TRUE
"8","2019-03-04",1,1,TRUE
"9","2019-03-07",1,2,FALSE
"10","2019-03-09",1,1,TRUE
"11","2019-03-11",2,2,TRUE
"12","2019-03-13",1,1,TRUE
"13","2019-03-18",1,1,TRUE
"14","2019-03-19",2,2,TRUE
"15","2019-03-28",1,1,TRUE
"16","2019-03-29",1,1,TRUE
"17","2019-04-01",1,1,TRUE
"18","2019-04-06",1,1,TRUE
"19","2019-04-16",1,1,TRUE
"20","2019-04-19",1,1,TRUE
"21","2019-04-20",2,1,FALSE
"22","2019-04-30",1,1,TRUE
"23","2019-05-21",2,1,FALSE
"24","2019-05-29",1,1,TRUE
"25","2019-06-08",1,1,TRUE
"26","2019-06-14",1,1,TRUE
"27","2019-06-16",1,1,TRUE
"28","2019-06-22",2,1,FALSE
"29","2019-06-23",2,1,FALSE
"30","2019-06-25",2,1,FALSE
"31","2019-06-28",1,1,TRUE
"32","2019-06-29",2,1,FALSE
"33","2019-07-07",2,1,FALSE
