"","date","predicted","truth","bool"
"1","2019-01-29",1,2,FALSE
"2","2019-02-14",2,2,TRUE
"3","2019-02-17",1,1,TRUE
"4","2019-02-19",1,1,TRUE
"5","2019-02-23",1,1,TRUE
"6","2019-03-03",1,2,FALSE
"7","2019-03-06",1,1,TRUE
"8","2019-03-07",1,2,FALSE
"9","2019-03-08",1,2,FALSE
"10","2019-03-11",2,2,TRUE
"11","2019-03-16",1,1,TRUE
"12","2019-03-18",1,1,TRUE
"13","2019-03-22",1,1,TRUE
"14","2019-04-01",1,1,TRUE
"15","2019-04-10",1,1,TRUE
"16","2019-04-13",2,2,TRUE
"17","2019-04-19",1,1,TRUE
"18","2019-04-20",1,1,TRUE
"19","2019-05-04",1,1,TRUE
"20","2019-05-06",2,1,FALSE
"21","2019-05-07",1,2,FALSE
"22","2019-05-09",1,1,TRUE
"23","2019-05-10",2,2,TRUE
"24","2019-05-22",1,1,TRUE
"25","2019-05-27",1,1,TRUE
"26","2019-05-30",2,2,TRUE
"27","2019-06-08",1,1,TRUE
"28","2019-06-14",1,1,TRUE
"29","2019-06-22",1,1,TRUE
"30","2019-06-27",2,2,TRUE
"31","2019-06-28",1,1,TRUE
"32","2019-07-05",1,1,TRUE
"33","2019-07-09",1,1,TRUE
