[01:16:55] Date         ABQ 00       ABQ 12       EPZ 00       EPZ 12       RH           diag.py:169
[01:17:01] 8/10/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:17:05] 8/11/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:10] 8/12/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:14] 8/13/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:19] 8/14/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:23] 8/15/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:29] 8/16/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:34] 8/17/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:38] 8/18/2019    Success      Success      Success      Success      Success      diag.py:148
[01:17:48] 8/20/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:17:52] 8/21/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:17:57] 8/22/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:02] 8/23/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:07] 8/24/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:11] 8/25/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:17] 8/26/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:22] 8/27/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:26] 8/28/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:31] 8/29/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:36] 8/30/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:42] 8/31/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:18:47] 9/1/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:18:52] 9/2/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:18:58] 9/3/2019     NaN          Success      Success      Success      Success      diag.py:148 
[01:19:03] 9/4/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:19:08] 9/5/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:19:54] 9/6/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:20:00] 9/7/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:20:06] 9/8/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:20:11] 9/9/2019     Success      Success      Success      Success      Success      diag.py:148 
[01:20:16] 9/10/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:20] 9/11/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:25] 9/12/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:30] 9/13/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:35] 9/14/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:39] 9/15/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:44] 9/16/2019    Success      Success      Success      Success      Success      diag.py:148 
[01:20:49] 9/17/2019    Success      Success      Success      Success      Success      diag.py:148 
