daynumber, PWV(Suomi), PWV(Aero), PWV(ABQ), PWV(EPZ), PWV(wt mean)
1,0.57,NaN,0.62,0.71,0.65
2,0.87,NaN,0.83,1.12,0.93
3,0.49,NaN,0.48,0.57,0.51
4,0.52,NaN,0.58,0.60,0.59
5,0.29,NaN,0.44,0.47,0.45
6,0.33,NaN,0.33,0.38,0.35
7,0.29,NaN,0.37,0.22,0.32
8,0.13,NaN,0.38,0.51,0.42
9,NaN,NaN,0.52,0.54,0.53
10,0.54,NaN,0.61,0.76,0.66
11,0.32,NaN,0.36,0.42,0.38
12,0.32,NaN,0.51,0.35,0.46
13,0.31,NaN,0.45,0.37,0.43
14,0.30,NaN,0.37,0.50,0.42
15,0.39,NaN,0.33,1.09,0.58
16,0.36,NaN,1.20,1.96,1.45
17,0.57,NaN,0.94,1.08,0.98
18,0.42,NaN,0.35,0.63,0.44
19,0.41,NaN,0.74,0.94,0.81
20,0.55,NaN,0.85,1.32,1.00
21,0.95,NaN,1.36,1.66,1.46
22,0.81,NaN,0.82,1.18,0.94
23,0.68,NaN,0.70,0.63,0.68
24,0.65,NaN,0.72,0.75,0.73
25,0.57,NaN,0.68,0.85,0.74
26,0.61,NaN,0.60,0.68,0.63
27,0.78,NaN,0.93,0.99,0.95
28,0.40,NaN,0.43,0.31,0.39
29,0.32,NaN,0.52,0.50,0.52
30,0.40,NaN,0.55,0.74,0.61
31,0.48,NaN,0.55,0.49,0.53
32,0.54,NaN,0.55,0.50,0.53
33,0.42,NaN,0.58,0.53,0.56
34,0.33,NaN,0.53,0.98,0.68
35,0.40,NaN,0.64,1.20,0.82
36,0.25,NaN,0.23,0.70,0.39
37,0.52,NaN,0.62,0.56,0.60
38,0.70,NaN,0.75,0.76,0.75
39,0.40,NaN,0.57,0.59,0.58
40,0.35,NaN,0.51,0.85,0.62
41,0.85,NaN,1.23,1.68,1.38
42,0.59,NaN,0.94,1.41,1.09
43,0.56,NaN,0.57,0.80,0.65
44,0.25,NaN,0.52,0.73,0.59
45,0.22,NaN,0.60,0.71,0.64
46,0.54,NaN,0.62,0.80,0.68
47,0.61,NaN,0.78,0.57,0.71
48,0.78,NaN,0.91,0.78,0.87
49,0.67,NaN,0.86,0.88,0.86
50,0.53,NaN,0.96,1.12,1.01
51,0.10,NaN,0.63,1.07,0.77
52,0.77,NaN,1.05,1.91,1.33
53,1.41,NaN,1.63,2.04,1.77
54,0.82,NaN,0.81,1.27,0.96
